"sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10"
"g1" 6217 5893 8196 5060 10626 55599 21303 14258 55681 52015
"g2" 2394 3237 4980 3274 3386 8211 9049 6710 8814 11960
"g3" 19260 22595 19642 18328 21598 61101 61336 41638 82682 69636
"g4" 12335 10717 18211 10102 15844 24995 22806 23708 34172 44410
"g5" 1417 1589 455 1626 1348 5909 4296 3598 4429 4512
"g6" 1816 830 2145 657 1667 3457 3047 2681 2232 4254
"g7" 937 808 716 578 832 1576 1354 1388 1783 894
"g8" 1702 173 1026 1106 168 12603 2187 2558 948 12490
"g9" 4852 2922 4123 2595 2385 16645 4709 7046 10721 10381
"g10" 2054 2265 3982 1909 5355 12516 4376 2327 2179 3708
"g11" 26748 19041 34907 18415 30084 60053 62870 83462 71721 88013
"g12" 106 48 8 12 34 117 60 344 22 107
"g13" 937 587 830 799 769 1499 4565 4662 4090 4683
"g14" 36170 44559 51068 36490 48841 177781 155370 113703 143645 177919
"g15" 775 407 1364 671 612 4172 1823 1748 437 5659
"g16" 280 447 592 112 559 1832 764 910 230 1645
"g17" 5811 4439 3729 3469 4291 17255 3509 10076 10482 9190
"g18" 2417 2309 2898 2037 2551 2740 4598 3236 4187 6006
"g19" 4887 3489 7048 2060 2439 15543 7330 17644 16694 18471
"g20" 14 225 12 3 12 831 37 384 14 82
"g21" 8848 6953 33418 10438 16407 35369 29905 9116 31170 37053
"g22" 142 140 194 116 224 257 278 349 467 550
"g23" 9553 9168 9379 9136 9531 29744 18824 8041 22339 16013
"g24" 342 38 16 20 322 153 990 72 349 233
"g25" 195 346 904 79 1198 568 2219 482 2968 253
"g26" 41 34 37 37 39 133 125 100 154 129
"g27" 1676 1481 2032 915 1209 3470 3793 2830 2023 3461
"g28" 3871 2038 2307 988 1826 5050 4555 2496 3372 1910
"g29" 99 1066 263 685 794 489 209 690 982 594
"g30" 34 98 96 230 201 357 512 179 396 315
"g31" 54 66 31 25 88 154 260 97 130 132
"g32" 6363 3396 8973 5677 8472 18535 15843 23683 18422 26038
"g33" 46 30 24 19 76 32 28 54 47 92
"g34" 35 78 27 4 105 65 158 69 60 92
"g35" 10 16 130 0 8 594 0 97 15 254
"g36" 21 44 225 20 182 736 403 59 508 186
"g37" 2136 1296 1506 2091 1512 3106 3388 1706 3552 3023
"g38" 505 157 104 128 56 199 798 3561 1965 916
"g39" 23453 15203 14289 13215 21907 38324 31820 25364 39315 44528
"g40" 16355 14232 30199 12482 26786 39058 24599 32544 41012 50235
"g41" 46379 22068 20712 13203 20973 52796 36218 47212 43193 65087
"g42" 311 211 204 143 225 983 592 540 433 1098
"g43" 314 554 701 485 1451 1115 512 1235 1906 799
"g44" 74 29 115 281 118 2269 2310 488 905 365
"g45" 50818 23088 31198 64186 135298 130478 116287 60839 165020 169331
"g46" 10833 12246 19709 7103 21166 78514 12634 33421 63401 96927
"g47" 92 4 33 38 35 347 110 975 93 1130
"g48" 6687 9296 10721 5525 11882 12330 7584 13890 13540 18120
"g49" 560 368 77 188 238 294 420 451 75 583
"g50" 781 516 685 480 1782 3433 6245 3076 2385 5600
"g51" 1294 1880 3003 2264 1121 5131 3883 2698 4017 2236
"g52" 14257 10065 13261 7383 19087 46481 25889 30080 45548 39086
"g53" 10948 16420 17673 8998 22364 72805 77961 53945 73594 106728
"g54" 10814 11068 14182 12885 12876 21727 39121 21101 35082 35080
"g55" 43 52 126 25 70 155 94 70 172 102
"g56" 393 70 677 213 653 1002 564 2959 107 224
"g57" 5698 1971 10056 1882 16797 20755 7315 2649 6711 30021
"g58" 34 61 15 10 15 111 47 2 102 162
"g59" 8682 6002 3793 3879 11865 30416 15553 17888 16085 29554
"g60" 176 647 54 309 99 580 591 218 583 339
"g61" 8335 4509 6683 3890 2997 16350 22076 22645 26231 27187
"g62" 131 135 88 184 223 418 568 437 427 398
"g63" 35925 32934 43776 23174 33562 126013 186390 115472 225631 170439
"g64" 5626 1599 2872 7716 6670 17140 13674 12539 6867 7364
"g65" 56 83 762 3 810 221 313 161 33 674
"g66" 61 29 25 30 15 28 28 65 128 136
"g67" 2934 2060 1738 2474 4268 8731 5811 3901 5278 7829
"g68" 239 757 490 952 1012 1323 2791 442 504 1243
"g69" 7077 5608 2163 3131 1641 4605 24547 12945 12067 30723
"g70" 105149 79698 84892 40957 121786 212162 249836 250316 235915 372754
"g71" 69 87 67 70 104 325 255 195 298 334
"g72" 11724 13209 14119 8755 11568 41749 22212 21253 44697 36885
"g73" 619 335 510 1176 678 810 653 3356 1509 432
"g74" 2768 1182 3144 902 6514 8249 6269 5471 7637 10818
"g75" 11452 8613 7114 4622 8857 44523 11674 28722 13780 9353
"g76" 10540 11788 9634 6606 15738 20112 12144 22474 34069 35116
"g77" 12 11 2 102 5 89 123 23 5 93
"g78" 480 475 391 467 361 1697 1258 648 1966 1084
"g79" 71 341 139 140 75 118 116 253 239 363
"g80" 8770 4049 6019 5764 9299 8738 6722 15172 28652 11721
"g81" 7 69 64 0 1 142 4 9 5 68
"g82" 5443 1121 1109 1036 1602 2325 2128 2772 1985 5119
"g83" 572 56 66 329 214 622 486 207 774 346
"g84" 42 2 3 1 287 147 34 3 418 677
"g85" 5258 2468 4727 3610 4113 10525 12640 5604 11698 8944
"g86" 4 69 22 122 399 272 151 479 8 1
"g87" 1806 601 763 2301 1688 829 1097 896 2766 1946
"g88" 100 49 10 85 113 94 401 84 1231 65
"g89" 76 1 0 8 196 366 0 36 101 71
"g90" 5962 6665 5826 4599 13535 10746 11261 3836 8042 8879
"g91" 5277 4033 5239 5447 5552 7324 7338 7276 7243 7459
"g92" 24 157 69 70 142 267 158 286 685 185
"g93" 252 205 195 242 516 1282 1282 894 534 5483
"g94" 41 18 47 2 72 118 9 168 359 305
"g95" 45210 43261 44688 29477 54413 172619 139720 135829 123180 152552
"g96" 1559 2934 8661 4202 7267 10216 2706 5132 15922 3697
"g97" 20 32 30 18 36 50 53 31 34 44
"g98" 83 59 47 69 153 505 162 380 535 386
"g99" 63114 73837 116601 57212 28346 93678 97516 141701 154243 111268
