"","GeneNames","value1","value2","log2.Fold_change.","log2.Fold_change..normalized","p.value","q.value.Benjamini.et.al..1995.","q.value.Storey.et.al..2003.","Signature.q.value.Benjamini.et.al..1995....0.05."
"1","g4",2129,930,1.1948733284569,1.1948733284569,0,0,0,TRUE
"2","g7",12,96,-3,-3,0,0,0,TRUE
"3","g8",13671,52863,-1.95113952452683,-1.95113952452683,0,0,0,TRUE
"4","g9",2348,6341,-1.43327796839553,-1.43327796839553,0,0,0,TRUE
"5","g10",3614,1376,1.3931160361625,1.3931160361625,0,0,0,TRUE
"6","g13",13663,20897,-0.613021549475757,-0.613021549475757,0,0,0,TRUE
"7","g14",1574,4038,-1.35920536982399,-1.35920536982399,0,0,0,TRUE
"8","g15",232,629,-1.43893521175172,-1.43893521175172,0,0,0,TRUE
"9","g16",21096,25106,-0.251062713988752,-0.251062713988752,0,0,0,TRUE
"10","g19",22009,39600,-0.847406833817599,-0.847406833817599,0,0,0,TRUE
"11","g20",255,546,-1.09840370406099,-1.09840370406099,0,0,0,TRUE
"12","g21",64,433,-2.75822321472672,-2.75822321472672,0,0,0,TRUE
"13","g23",1695,4956,-1.5478909141169,-1.5478909141169,0,0,0,TRUE
"14","g26",2775,5893,-1.08651449472678,-1.08651449472678,0,0,0,TRUE
"15","g27",2406,4193,-0.801346187670314,-0.801346187670314,0,0,0,TRUE
"16","g28",4118,7962,-0.951187041459095,-0.951187041459095,0,0,0,TRUE
"17","g29",1549,818,0.92116439584782,0.92116439584782,0,0,0,TRUE
"18","g31",11874,16921,-0.511008813383429,-0.511008813383429,0,0,0,TRUE
"19","g33",7594,12396,-0.706942755967127,-0.706942755967127,0,0,0,TRUE
"20","g35",562,2094,-1.89761940670988,-1.89761940670988,0,0,0,TRUE
"21","g36",209,0,NA,NA,0,0,0,TRUE
"22","g38",3215,2140,0.587207940926799,0.587207940926799,0,0,0,TRUE
"23","g39",50260,69754,-0.47286527855049,-0.47286527855049,0,0,0,TRUE
"24","g40",53,385,-2.86079418101906,-2.86079418101906,0,0,0,TRUE
"25","g41",11737,22403,-0.932628237518884,-0.932628237518884,0,0,0,TRUE
"26","g43",112,364,-1.70043971814109,-1.70043971814109,0,0,0,TRUE
"27","g45",10375,7006,0.56644844320695,0.56644844320695,0,0,0,TRUE
"28","g46",367,934,-1.34764248686645,-1.34764248686645,0,0,0,TRUE
"29","g47",64,489,-2.93369065495223,-2.93369065495223,0,0,0,TRUE
"30","g49",2510,1578,0.669590158824676,0.669590158824676,0,0,0,TRUE
"31","g54",1,586,-9.19475685442225,-9.19475685442225,0,0,0,TRUE
"32","g55",50509,62116,-0.298424450512305,-0.298424450512305,0,0,0,TRUE
"33","g56",7209,12948,-0.84485821635815,-0.84485821635815,0,0,0,TRUE
"34","g59",0,110,NA,NA,0,0,0,TRUE
"35","g68",1114,5672,-2.34810829989948,-2.34810829989948,0,0,0,TRUE
"36","g69",7112,10050,-0.498868272123884,-0.498868272123884,0,0,0,TRUE
"37","g70",1800,913,0.979310141232816,0.979310141232816,0,0,0,TRUE
"38","g71",162,364,-1.16794463731407,-1.16794463731407,0,0,0,TRUE
"39","g72",34904,48470,-0.473699703677264,-0.473699703677264,0,0,0,TRUE
"40","g73",742,1186,-0.676612917925201,-0.676612917925201,0,0,0,TRUE
"41","g74",12695,15188,-0.258671509084222,-0.258671509084222,0,0,0,TRUE
"42","g75",4375,5606,-0.35768872742544,-0.35768872742544,0,0,0,TRUE
"43","g76",12,601,-5.64625867999003,-5.64625867999003,0,0,0,TRUE
"44","g77",964,593,0.701001041683957,0.701001041683957,0,0,0,TRUE
"45","g82",1264,3058,-1.2745919431837,-1.2745919431837,0,0,0,TRUE
"46","g84",607,1003,-0.7245531843565,-0.7245531843565,0,0,0,TRUE
"47","g86",35,234,-2.74108170263844,-2.74108170263844,0,0,0,TRUE
"48","g88",824,1598,-0.955551165744758,-0.955551165744758,0,0,0,TRUE
"49","g89",11892,32021,-1.42902699485242,-1.42902699485242,0,0,0,TRUE
"50","g90",5682,2153,1.40005051202231,1.40005051202231,0,0,0,TRUE
"51","g92",1920,3527,-0.877335264817734,-0.877335264817734,0,0,0,TRUE
"52","g94",45,236,-2.39078995303217,-2.39078995303217,0,0,0,TRUE
"53","g95",95103,80827,0.234653550115166,0.234653550115166,0,0,0,TRUE
"54","g96",3742,4728,-0.337420476936748,-0.337420476936748,0,0,0,TRUE
"55","g99",30364,27624,0.136439617326918,0.136439617326918,0,0,0,TRUE
"56","g103",4984,9853,-0.983258988811892,-0.983258988811892,0,0,0,TRUE
"57","g107",0,104,NA,NA,0,0,0,TRUE
"58","g109",3053,5329,-0.803637243553256,-0.803637243553256,0,0,0,TRUE
"59","g112",15,439,-4.87118653392684,-4.87118653392684,0,0,0,TRUE
"60","g113",14427,32082,-1.15299275052291,-1.15299275052291,0,0,0,TRUE
"61","g114",3027,4406,-0.541580819873369,-0.541580819873369,0,0,0,TRUE
"62","g115",602,20,4.91169158187234,4.91169158187234,0,0,0,TRUE
"63","g116",515,932,-0.8557575225837,-0.8557575225837,0,0,0,TRUE
"64","g118",979,1812,-0.88820219044254,-0.88820219044254,0,0,0,TRUE
"65","g119",1833,11093,-2.59737089090454,-2.59737089090454,0,0,0,TRUE
"66","g120",5013,10651,-1.08724274918188,-1.08724274918188,0,0,0,TRUE
"67","g121",13191,19201,-0.541627510972079,-0.541627510972079,0,0,0,TRUE
"68","g123",877,0,NA,NA,0,0,0,TRUE
