"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1",833.400084146782,1.13510031511751,0.333909765737161,3.39942233379005,0.000675283552987842,0.0154381314401157
"g3",883.787733158053,1.94634696467984,0.542882402560893,3.58520916408139,0.000336808158338273,0.00873803700928307
"g5",58490.9581748038,1.12856242196137,0.255677164898921,4.41401336098018,1.01471692167287e-05,0.00039527975794713
"g6",14401.5080993162,1.45977792908317,0.148038613253456,9.86079170158054,6.15620429617937e-23,3.05300377672834e-20
"g7",2739.21399760135,1.37514117596144,0.337679771521602,4.07232322435242,4.65465247002557e-05,0.00159619917416249
"g9",57715.0644083003,1.26616379570303,0.270727507005537,4.67689378780832,2.91253012676438e-06,0.00012687217383277
"g11",7719.25820026783,1.60757771762852,0.386481215030933,4.15952355536828,3.18912132119886e-05,0.00114223695320939
"g12",9756.5083552559,2.33874668593139,0.292018256627552,8.00890572028273,1.15733586379668e-15,2.66476582639186e-13
"g13",111718.666545182,2.41656797281817,0.257543127790127,9.38315843856429,6.40254649902871e-21,2.84670463994745e-18
"g14",15290.7313081412,2.20152856302895,0.660478326891453,3.33323361780918,0.000858428295833077,0.01921627508068
"g15",23956.6983815431,1.57158921942331,0.238029686121224,6.60249250853076,4.04301713265175e-11,4.3442219090343e-09
"g16",12684.6825037562,2.20391949314647,0.206246621591701,10.6858453056724,1.18563976029506e-26,8.49313281624692e-24
"g17",494.220526324611,2.20776759218165,0.368606272578821,5.98950087510935,2.10485999274597e-09,1.68571830723394e-07
"g19",2359.04288642361,2.51636720993649,0.621702837583159,4.04754017163368,5.17587009998697e-05,0.00174249788692512
"g21",1945.64792627161,0.822388431960742,0.229367174651632,3.58546698414803,0.000336475571387558,0.00873803700928307
"g23",2061.08066750024,0.961845126627576,0.243930334341436,3.94311404206602,8.04303847943617e-05,0.00254808201852211
"g26",3439.04378767282,1.28194844789011,0.317834357036541,4.03338537671912,5.49790043936882e-05,0.00182706000683561
"g27",431225.234959604,1.70418087679595,0.238053176948615,7.15882433765546,8.13718743150287e-13,1.15297686529448e-10
"g28",199488.978747838,2.26890176554043,0.220374277375734,10.2956742164241,7.37014412293071e-25,4.52526849147946e-22
"g29",268.634862417169,3.57743142211537,0.717261270012117,4.98762664552477,6.11255495885879e-07,3.20387331867989e-05
"g30",501.839353113913,2.22381924979496,0.274842694109309,8.09124381858416,5.90584990774047e-16,1.41018571685936e-13
"g32",33252.8066348142,2.09399839152344,0.121526306720104,17.2308239099726,1.55914623568738e-66,1.00518157814765e-62
"g35",41117.5243879326,1.50266188803252,0.211520695431816,7.10408920018377,1.21118613926334e-12,1.64389832417489e-10
"g37",9509.06804962763,0.934448150022319,0.305527941073379,3.05847035377328,0.00222470090302772,0.0425573025983147
"g38",940.653806199635,1.65624083048405,0.279811054111039,5.91914009882825,3.23629202555105e-09,2.54443593764971e-07
"g40",31121.9244195135,2.07809552525683,0.237231909113524,8.75976395006115,1.95659668561931e-18,6.00675182485128e-16
"g41",17903.353985607,1.2344761847254,0.139445816628283,8.85273014690794,8.54039828887412e-19,2.82358706504469e-16
"g42",2215.96886470854,1.49863634209417,0.399840524175584,3.74808517766966,0.000178189745398273,0.00507191738888596
"g43",6769.01034532521,2.19310772352631,0.643266287077795,3.40933104622827,0.000651224019073321,0.0149410720674936
"g46",1784.7287210874,1.13283924702421,0.255485055342719,4.43407245681972,9.2469525940946e-06,0.000362401844219623
"g48",2464.90742166609,2.49468390130855,0.277107487132663,9.00258570102886,2.20462981866206e-19,7.89624913384127e-17
"g50",7421.82585097602,1.01332668803659,0.2303266547197,4.39951984397886,1.08490656899784e-05,0.000421348954839099
"g51",8323.5250346834,1.56748590682857,0.287374376994732,5.45450823841998,4.91085584643247e-08,3.10394976881864e-06
"g54",5048.87497780048,1.98865118002672,0.342950387162902,5.79865559120102,6.68486628368453e-09,4.84239695852968e-07
"g55",2684.6395520514,1.7408385143154,0.398119448044103,4.37265379239287,1.22745291746434e-05,0.000473855626280994
"g58",134.448089166674,3.61850755289462,0.903135630822476,4.00660479932486,6.15978009015125e-05,0.00202097212423436
"g60",11229.0882769341,1.08313750308096,0.262794166262493,4.12161928282328,3.76218584443361e-05,0.00132903080214047
"g62",63728.753893694,0.786397529716001,0.208029573801782,3.78021987616678,0.000156689922107417,0.00457094989966751
"g63",3932.65578581445,1.4513257893171,0.338481415373714,4.28775620580146,1.80487025558744e-05,0.000680467750746916
"g64",9665.72667989665,1.76064439291042,0.216047876290449,8.14932515487198,3.65960735067189e-16,9.25234846658106e-14
"g65",26299.7157490038,1.84570363477077,0.244667781623797,7.54371344899323,4.56774231864917e-14,8.18006520231422e-12
"g67",18853.5191411753,2.61126408378566,0.185020543140697,14.113373787904,3.14180116288793e-45,1.01275960485692e-41
"g70",45479.3648846884,1.24624829109125,0.229539876862313,5.42933240239908,5.65652439799276e-08,3.54054493144265e-06
"g74",4003.15165430551,0.780286109933856,0.226002146601854,3.45256061354355,0.00055529270281121,0.0131946807546528
"g81",770.718376149445,1.46898547286491,0.358011401352293,4.10318070127434,4.07508718932358e-05,0.00142396136095226
"g82",144.119763652579,1.31990621013607,0.382236104398107,3.45311757562638,0.000554147413766794,0.0131946807546528
"g85",8400.56785272102,1.34964548766999,0.246758705708184,5.46949492135071,4.51319854590107e-08,2.89518318660938e-06
"g86",4806.23761609444,1.30934168956335,0.304978653994801,4.2932240417904,1.76097150011443e-05,0.000665864120893709
"g90",2281.23657492142,0.648883955127202,0.182806957054305,3.54955831869378,0.000385877983255177,0.00979431243325247
"g91",31233.8859429933,1.91790806352737,0.281511644692199,6.81289069098503,9.56568257598269e-12,1.12127191940655e-09
"g93",35175.4847379745,1.23354283997214,0.19706486621507,6.25957768964201,3.86021391295295e-10,3.36308095902806e-08
"g94",152.362359317786,1.14441469754165,0.328414656575509,3.48466389860564,0.000492755574176421,0.0120561487161874
"g95",50957.1004997282,1.9112957904436,0.256172592454369,7.46096907608901,8.58884095396757e-14,1.43824045792802e-11
"g96",510.09884928858,2.0776156010196,0.429414026924294,4.8382574176737,1.30982431898539e-06,6.18640101428485e-05
"g98",56320.541217864,1.1809496854764,0.291154834642457,4.05608818732695,4.99014248764752e-05,0.00168436903758448
"g100",27811.0795614397,0.876280967768038,0.273560517866375,3.20324356234795,0.00135889001157582,0.0283979381025262
"g101",185.558897055729,1.66061468511799,0.411442732448809,4.03607733021412,5.43523078715355e-05,0.00181090092427798
"g102",2274.61799722897,2.87818516022963,0.343697839270749,8.37417298385264,5.56130206095922e-17,1.49390476612517e-14
"g103",7807.23137430741,1.83445303194491,0.25722732624782,7.1316413333844,9.91790413277164e-13,1.3900158248691e-10
"g110",43363.4525562795,1.85227489570111,0.248981444357442,7.43940939246041,1.01136440938579e-13,1.60994230797782e-11
"g113",565.828978670847,3.73433135322654,0.954264926273442,3.9133067247999,9.10407733431355e-05,0.00283857401683129
"g114",1448.4332151615,2.24547590543971,0.342417653159943,6.55771069253502,5.46400813018721e-11,5.6816871637608e-09
"g115",246.989778025072,1.21087043504622,0.323417583974868,3.74398454210303,0.00018112480115336,0.00513279821114597
"g118",611.156712923462,0.973340699866778,0.278973590409153,3.48900660610647,0.000484819167148837,0.0118845215612492
"g120",1247.93014623758,1.08548783297094,0.352194298722106,3.0820709957813,0.00205565802765644,0.0399783629089021
"g123",14215.793569334,1.88495622234013,0.137470150274161,13.7117491948681,8.63506908500021e-43,1.59057972545704e-39
"g126",40320.7196164064,2.31805620250176,0.178893198797711,12.9577659636071,2.12341976162722e-38,3.42242180080267e-35
"g129",70003.2727146576,0.865919934726849,0.205908456046189,4.20536364243636,2.60662707487047e-05,0.000960281414382281
"g130",258.937428301253,3.12915756860353,0.652086284569446,4.79868637425739,1.59709651014003e-06,7.32845637072795e-05
"g132",161.70292009881,1.90002494230894,0.574373513841491,3.3079954011133,0.000939663526665222,0.020675804629388
"g134",75.462968378526,1.35707198984218,0.41982423253612,3.2324765572588,0.0012272220473532,0.0259724240345287
"g141",693.42908071254,2.26406828249508,0.543407325348346,4.16642944782483,3.09407589833641e-05,0.00111750741269327
"g145",514.134114239486,1.68305877078013,0.230760581052734,7.29352805016342,3.01941819026393e-13,4.69064796930881e-11
"g146",368.335228429251,2.68036241124918,0.419252450294104,6.39319438531347,1.62455519821511e-10,1.59900875769356e-08
"g147",127021.654647681,1.03011140157914,0.322953007450681,3.18966344271141,0.00142438569161265,0.029291912452398
"g148",279.754602708234,2.14078361258187,0.403549994180132,5.30487831360564,1.12748183055541e-07,6.6686929922851e-06
"g150",1360.62171679452,1.25663757899558,0.272781544426941,4.60675439621665,4.09002605153105e-06,0.0001752053020214
"g152",4678.02776828883,1.52749533311444,0.488077120230882,3.12961880366747,0.00175033278151807,0.0349903734649519
"g155",120596.637570403,1.80981087428955,0.273693196392382,6.61255339243033,3.77746801232021e-11,4.09299769334931e-09
"g157",810.940053830644,1.13399301624771,0.329332226278,3.4433102070323,0.000574639772060363,0.0135208124469823
"g161",149.316314270112,2.77474358516071,0.303348014897257,9.1470635998739,5.85020758053546e-20,2.21860519245365e-17
