"","x"
"1","g1"
"2","g4"
"3","g9"
"4","g11"
"5","g12"
"6","g13"
"7","g14"
"8","g15"
"9","g16"
"10","g19"
"11","g20"
"12","g22"
"13","g24"
"14","g25"
"15","g26"
"16","g27"
"17","g29"
"18","g30"
"19","g32"
"20","g33"
"21","g37"
"22","g45"
"23","g46"
"24","g51"
"25","g53"
"26","g55"
"27","g56"
"28","g58"
"29","g62"
"30","g65"
"31","g66"
"32","g68"
"33","g69"
"34","g72"
"35","g73"
"36","g74"
"37","g77"
"38","g79"
"39","g81"
"40","g82"
"41","g84"
"42","g85"
"43","g86"
"44","g88"
"45","g90"
"46","g92"
"47","g93"
"48","g95"
"49","g100"
"50","g102"
"51","g103"
"52","g104"
"53","g105"
"54","g106"
"55","g108"
"56","g113"
"57","g114"
"58","g116"
"59","g118"
"60","g119"
"61","g121"
"62","g127"
"63","g129"
"64","g130"
"65","g135"
"66","g136"
"67","g139"
"68","g141"
"69","g145"
"70","g146"
"71","g150"
"72","g151"
"73","g153"
"74","g154"
"75","g155"
"76","g156"
"77","g159"
"78","g161"
"79","g163"
"80","g166"
"81","g167"
"82","g168"
"83","g177"
"84","g178"
"85","g179"
"86","g181"
"87","g183"
"88","g185"
"89","g187"
"90","g188"
"91","g190"
"92","g192"
"93","g194"
"94","g196"
"95","g201"
"96","g202"
"97","g203"
"98","g204"
"99","g206"
"100","g212"
"101","g213"
"102","g214"
"103","g215"
"104","g217"
"105","g218"
"106","g219"
"107","g220"
"108","g223"
"109","g224"
"110","g229"
"111","g230"
"112","g233"
"113","g234"
"114","g235"
"115","g238"
"116","g239"
"117","g240"
"118","g241"
"119","g242"
"120","g243"
"121","g245"
"122","g247"
"123","g249"
"124","g251"
"125","g252"
"126","g256"
"127","g257"
"128","g258"
"129","g260"
"130","g261"
"131","g264"
"132","g266"
"133","g269"
"134","g272"
"135","g273"
"136","g274"
"137","g276"
"138","g279"
"139","g281"
"140","g283"
"141","g284"
"142","g288"
"143","g290"
"144","g291"
"145","g292"
"146","g293"
"147","g294"
"148","g297"
"149","g300"
"150","g302"
"151","g304"
"152","g308"
"153","g311"
"154","g312"
"155","g318"
"156","g320"
"157","g322"
"158","g324"
"159","g325"
"160","g327"
"161","g330"
"162","g334"
"163","g338"
"164","g342"
"165","g344"
"166","g351"
"167","g353"
"168","g357"
"169","g358"
"170","g359"
"171","g361"
"172","g365"
"173","g366"
"174","g369"
"175","g374"
"176","g376"
"177","g379"
"178","g380"
"179","g383"
"180","g384"
"181","g385"
"182","g387"
"183","g389"
"184","g390"
"185","g404"
"186","g407"
"187","g408"
"188","g411"
"189","g412"
"190","g417"
"191","g418"
"192","g419"
"193","g421"
"194","g426"
"195","g429"
"196","g431"
"197","g438"
"198","g439"
"199","g441"
"200","g444"
"201","g445"
"202","g446"
"203","g448"
"204","g450"
"205","g451"
"206","g452"
"207","g454"
"208","g456"
"209","g459"
"210","g462"
"211","g464"
"212","g467"
"213","g468"
"214","g469"
"215","g472"
"216","g476"
"217","g477"
"218","g478"
"219","g479"
"220","g484"
"221","g486"
"222","g490"
"223","g493"
"224","g495"
"225","g497"
"226","g501"
"227","g502"
"228","g506"
"229","g510"
"230","g512"
"231","g513"
"232","g517"
"233","g520"
"234","g522"
"235","g526"
"236","g528"
"237","g530"
"238","g531"
"239","g534"
"240","g537"
"241","g539"
"242","g540"
"243","g542"
"244","g547"
"245","g549"
"246","g552"
"247","g553"
"248","g556"
"249","g557"
"250","g560"
"251","g561"
"252","g563"
"253","g566"
"254","g568"
"255","g569"
"256","g570"
"257","g572"
"258","g577"
"259","g578"
"260","g579"
"261","g581"
"262","g584"
"263","g585"
"264","g589"
"265","g595"
"266","g596"
"267","g597"
"268","g599"
"269","g600"
"270","g604"
"271","g606"
"272","g610"
"273","g611"
"274","g612"
"275","g614"
"276","g615"
"277","g616"
"278","g619"
"279","g620"
"280","g621"
"281","g622"
"282","g623"
"283","g626"
"284","g628"
"285","g630"
"286","g631"
"287","g632"
"288","g633"
"289","g634"
"290","g636"
"291","g637"
"292","g638"
"293","g641"
"294","g642"
"295","g643"
"296","g644"
"297","g648"
"298","g649"
"299","g651"
"300","g653"
"301","g654"
"302","g655"
"303","g657"
"304","g659"
"305","g661"
"306","g664"
"307","g666"
"308","g667"
"309","g668"
"310","g669"
"311","g671"
"312","g675"
"313","g676"
"314","g679"
"315","g681"
"316","g686"
"317","g690"
"318","g695"
"319","g698"
"320","g699"
"321","g700"
"322","g704"
"323","g705"
"324","g709"
"325","g710"
"326","g715"
"327","g716"
"328","g719"
"329","g720"
"330","g721"
"331","g722"
"332","g724"
"333","g727"
"334","g730"
"335","g731"
"336","g732"
"337","g735"
"338","g736"
"339","g737"
"340","g738"
"341","g741"
"342","g744"
"343","g746"
"344","g751"
"345","g752"
"346","g754"
"347","g755"
"348","g756"
"349","g757"
"350","g759"
"351","g761"
"352","g762"
"353","g768"
"354","g770"
"355","g773"
"356","g774"
"357","g777"
"358","g778"
"359","g779"
"360","g782"
"361","g783"
"362","g784"
"363","g785"
"364","g788"
"365","g790"
"366","g791"
"367","g796"
"368","g799"
"369","g800"
"370","g802"
"371","g807"
"372","g811"
"373","g813"
"374","g815"
"375","g816"
"376","g826"
"377","g828"
"378","g829"
"379","g830"
"380","g832"
"381","g833"
"382","g838"
"383","g839"
"384","g845"
"385","g847"
"386","g850"
"387","g853"
"388","g856"
"389","g857"
"390","g858"
"391","g859"
