"","x"
"1","g227"
"2","g4910"
"3","g579"
"4","g283"
"5","g919"
"6","g218"
"7","g12031"
"8","g408"
"9","g67"
"10","g1232"
"11","g1001"
"12","g499"
"13","g321"
"14","g777"
"15","g1012"
"16","g740"
"17","g102"
"18","g529"
"19","g743"
"20","g13"
"21","g647"
"22","g5681"
"23","g259"
"24","g116"
"25","g873"
"26","g12188"
"27","g302"
"28","g493"
"29","g203"
"30","g126"
"31","g645"
"32","g12"
"33","g1264"
"34","g4541"
"35","g396"
"36","g28"
"37","g584"
"38","g1147"
"39","g14"
"40","g19"
"41","g298"
"42","g48"
"43","g1222"
"44","g843"
"45","g43"
"46","g785"
"47","g179"
"48","g387"
"49","g262"
"50","g16"
"51","g462"
"52","g6548"
"53","g272"
"54","g32"
"55","g40"
"56","g739"
"57","g832"
"58","g10403"
"59","g341"
"60","g1133"
"61","g805"
"62","g966"
"63","g859"
"64","g9764"
"65","g1080"
"66","g638"
"67","g425"
"68","g863"
"69","g375"
"70","g1426"
"71","g369"
"72","g629"
"73","g199"
"74","g54"
"75","g507"
"76","g935"
"77","g1243"
"78","g676"
"79","g357"
"80","g409"
"81","g504"
"82","g533"
"83","g476"
"84","g7801"
"85","g2669"
"86","g300"
"87","g320"
"88","g254"
"89","g1201"
"90","g1081"
"91","g1030"
"92","g1024"
"93","g198"
"94","g1046"
"95","g91"
"96","g1082"
"97","g344"
"98","g627"
"99","g2188"
"100","g970"
"101","g349"
"102","g123"
"103","g113"
"104","g95"
"105","g1205"
"106","g1197"
"107","g12787"
"108","g860"
"109","g229"
"110","g114"
"111","g488"
"112","g483"
"113","g103"
"114","g377"
"115","g65"
"116","g273"
"117","g461"
"118","g960"
"119","g110"
"120","g3870"
"121","g335"
"122","g655"
"123","g3340"
"124","g4726"
"125","g1204"
"126","g1269"
"127","g5915"
"128","g1169"
"129","g833"
"130","g7135"
"131","g155"
"132","g597"
"133","g653"
"134","g861"
"135","g1254"
"136","g467"
"137","g278"
"138","g6153"
"139","g381"
"140","g64"
"141","g870"
"142","g1032"
"143","g2139"
"144","g1021"
"145","g27"
"146","g1130"
"147","g1041"
"148","g7866"
"149","g9231"
"150","g418"
"151","g448"
"152","g921"
"153","g576"
"154","g5407"
"155","g2097"
"156","g1833"
"157","g345"
"158","g1163"
"159","g1247"
"160","g885"
"161","g5126"
"162","g523"
"163","g3067"
"164","g510"
"165","g974"
"166","g1227"
"167","g11599"
"168","g1237"
"169","g872"
"170","g466"
"171","g641"
"172","g55"
"173","g1103"
"174","g7837"
"175","g291"
"176","g11234"
"177","g1139"
"178","g2247"
"179","g393"
"180","g3133"
"181","g205"
"182","g585"
"183","g15"
"184","g825"
"185","g4656"
"186","g220"
"187","g200"
"188","g442"
"189","g768"
"190","g582"
"191","g426"
"192","g1278"
"193","g1058"
"194","g3098"
"195","g6478"
"196","g1095"
"197","g943"
"198","g11"
"199","g4271"
"200","g1702"
"201","g1044"
"202","g900"
"203","g737"
"204","g648"
"205","g368"
"206","g6455"
"207","g289"
"208","g497"
"209","g734"
"210","g1031"
"211","g5313"
"212","g730"
"213","g6931"
"214","g632"
"215","g1022"
"216","g1037"
"217","g252"
"218","g840"
"219","g294"
"220","g35"
"221","g675"
"222","g51"
"223","g780"
"224","g1048"
"225","g10201"
"226","g530"
"227","g1043"
"228","g678"
"229","g296"
"230","g9532"
"231","g535"
"232","g78"
"233","g11660"
"234","g898"
"235","g508"
"236","g993"
"237","g440"
"238","g981"
"239","g1040"
"240","g8321"
"241","g2444"
"242","g770"
"243","g1280"
"244","g1090"
"245","g141"
"246","g3553"
"247","g234"
"248","g6"
"249","g329"
"250","g214"
"251","g152"
