"","X1_mean","X2_mean","M","D","prob","ranking"
"g4129",22163.412659803,429.726123661188,5.68861874712379,21733.6865361418,0.954911916301254,21733.687280617
"g285",13816.8643239243,118909.993151758,-3.10536781899007,105093.128827834,0.935364258789138,-105093.128873714
"g402",2301.40699574051,29387.5371767764,-3.67461641217852,27086.1301810359,0.934225709669975,-27086.1304302927
"g404",22446.6141611086,178715.455255156,-2.99309465266901,156268.841094048,0.931967843680283,-156268.841122712
"g599",93037.4835441815,702473.294348944,-2.91655939922817,609435.810804762,0.930256173551812,-609435.810811741
"g170",66846.08224499,495152.403462074,-2.88895772853935,428306.321217084,0.928882990999308,-428306.321226827
"g532",51703.7506714604,369858.590006594,-2.83863293810815,318154.839335134,0.926698207554427,-318154.839347797
"g192",26429.3326720356,187334.806348858,-2.82540707050103,160905.473676823,0.92542887914455,-160905.473701629
"g1059",19376.6677752078,1287.26847710062,3.91193560693761,18089.3992981071,0.925121163166397,18089.3997210963
"g863",574075.762988725,88792.876511699,2.69272530266045,485282.886477026,0.919836141241634,485282.886484497
"g1077",92599.5213711586,13839.0910757732,2.74225554377669,78760.4302953854,0.91867451342411,78760.4303431249
"g7547",15707.6817824558,996.009659952486,3.97916673147088,14711.6721225034,0.916555119624586,14711.6726606396
"g577",37466.8216671608,230549.020291169,-2.6213880317989,193082.198624008,0.915762750980845,-193082.198641803
"g401",143341.018614391,866465.377660526,-2.59569059134702,723124.359046135,0.915493499499962,-723124.359050794
"g473",65950.1548189264,400340.496378294,-2.60177960735044,334390.341559368,0.915220401569351,-334390.34156949
"g119",2448.79811166168,22918.7265952633,-3.22638114506198,20469.9284836017,0.913077929071467,-20469.9287378658
"g3118",62416.979211559,9651.64873743028,2.69309122086698,52765.3304741287,0.913001000076929,52765.3305428551
"g336",89187.4170375836,521411.534458597,-2.54751041025022,432224.117421014,0.912677898299869,-432224.117428521
"g441",71517.3278260059,417474.154402137,-2.5453221461138,345956.826576131,0.912604815755058,-345956.826585494
"g317",15530.8124433504,91059.9205507472,-2.55168289907131,75529.1081073967,0.90903915685822,-75529.1081504999
"g1280",32763.9922755904,4785.23912370269,2.77544823464234,27978.7531518877,0.906123547965228,27978.7532895477
"g578",6887.37628825912,43041.3685459046,-2.6436975454441,36153.9922576454,0.905196553581045,-36153.9923543033
"g939",138111.792380245,25545.7856312454,2.43467929632945,112566.006748999,0.903961843218709,112566.006775329
"g1039",35549.6843665004,5525.32300334141,2.68570604050978,30024.361363159,0.903711823986461,30024.3614832784
