"sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10"
"g1" 5644 7017 3442 9233 4610 16558 12630 11177 12474 4668
"g2" 133 141 60 86 130 305 53 167 306 172
"g3" 2801 1077 496 1032 2051 2160 2772 6623 3563 2778
"g4" 777 1600 2194 1800 946 1407 897 4952 5444 3101
"g5" 4427 3766 3352 4226 3695 4541 5884 8676 11474 6608
"g6" 844 1164 1015 522 326 1553 1726 2940 6920 2058
"g7" 6626 6686 5397 3316 4253 5570 8121 7274 10729 3701
"g8" 43474 37925 26960 27822 28684 52192 46038 66332 126706 44709
"g9" 504 620 358 291 165 273 161 132 160 312
"g10" 214 323 172 267 367 166 560 369 808 368
"g11" 983 700 480 859 1459 1494 854 2033 1234 638
"g12" 1315 8659 27128 12302 756 15950 898 5773 17279 6032
"g13" 7028 3828 6325 5814 5783 6132 8225 14270 9591 6689
"g14" 5422 2334 3684 7434 2320 12993 15766 21730 14302 6651
"g15" 6938 4764 5651 6354 2766 17036 8274 15672 16272 7534
"g16" 7292 6476 6001 7982 7292 26662 22595 28878 39162 17660
"g17" 4596 4199 2996 3802 2435 6866 6489 7809 6912 5329
"g18" 1409 1214 762 744 515 3413 2047 1916 4536 1613
"g19" 85 67 230 89 52 196 130 279 105 130
"g20" 11237 10939 15334 14636 4908 38518 16622 25413 56885 14431
"g21" 184 163 183 194 162 462 322 468 434 276
"g22" 1645 801 1484 1033 741 1444 1085 3574 3309 776
"g23" 3981 3907 3311 4898 5310 16343 7401 18951 17946 8669
"g24" 6689 2601 1681 7141 6074 12510 8360 2719 9225 5825
"g25" 20362 19957 10374 16810 16225 7274 24188 30725 6829 17791
"g26" 2071 6 623 494 406 1591 113 927 63 249
"g27" 43 147 37 54 32 341 267 31 146 89
"g28" 69 98 52 51 79 235 463 289 279 121
"g29" 32 106 136 369 146 451 164 127 395 87
"g30" 152 118 190 131 50 186 264 275 377 72
"g31" 117 63 74 15 74 137 53 363 318 166
"g32" 73 5 15 75 37 94 7 57 79 42
"g33" 377 924 397 629 432 2390 1763 1926 1940 1575
