"","truedispersions.S1","truedispersions.S2","truemeans.S1","truemeans.S2","n.random.outliers.up.S1","n.random.outliers.up.S2","n.random.outliers.down.S1","n.random.outliers.down.S2","n.single.outliers.up.S1","n.single.outliers.up.S2","n.single.outliers.down.S1","n.single.outliers.down.S2","M.value","A.value","truelog2foldchanges","upregulation","downregulation","differential.expression"
"g1",0.754662850807785,0.754662850807785,1.48780487804878,4.37026271384247,0,0,0,0,0,0,0,0,2.29057837040535,5.70660272291187,1.55453467551457,1,0,1
"g2",0.144189560661664,0.144189560661664,705.878048780488,1159.06412277544,0,0,0,0,0,0,0,0,0.825082674493849,14.696774464765,0.715469520086378,1,0,1
"g3",0.030541159287032,0.030541159287032,855.292682926829,1672.17382162979,0,0,0,0,0,0,0,0,0.878420849585329,15.1753305483945,0.967234719807811,1,0,1
"g4",0.00880899620622042,0.00880899620622042,1.1219512195122,2.64957640914102,0,0,0,0,0,0,0,0,1.38609536273534,5.59138458299727,1.23975178133931,1,0,1
"g5",0.144197532971529,0.144197532971529,56.2105263157895,115.575440360723,0,0,0,0,0,0,0,0,1.11275381746704,10.8918039198275,1.03992263101157,1,0,1
"g6",0.218320095805895,0.218320095805895,16.140350877193,28.5299337831767,0,0,0,0,0,0,0,0,1.24299437775773,9.25334023182456,0.821804456594362,1,0,1
"g7",0.753308444080315,0.753308444080315,1.75609756097561,3.52876703831844,0,0,0,0,0,0,0,0,2.98633097461443,4.97354525764358,1.00679119278434,1,0,1
"g8",0.959141359629933,0.959141359629933,5.14035087719298,11.3838786035741,0,0,0,0,0,0,0,0,0.714976735793492,8.18165791027008,1.14705343694812,1,0,1
"g9",0.198319750494344,0.198319750494344,25.2682926829268,46.3727229395654,0,0,0,0,0,0,0,0,0.0995477403955292,9.67352287440314,0.875948253995451,1,0,1
"g10",0.0785840702263083,0.0785840702263083,22.0350877192982,34.3741072710873,0,0,0,0,0,0,0,0,1.01216387202332,9.7376142517222,0.641519605981876,1,0,1
"g11",0.0417181274270865,0.0417181274270865,222.707317073171,400.248659560496,0,0,0,0,0,0,0,0,1.01362408547714,13.0678367046816,0.845747612332465,1,0,1
"g12",0.071322206524675,0.071322206524675,3003.38596491228,5907.61885766316,0,0,0,0,0,0,0,0,1.2800380947262,16.9904368646579,0.975986863185341,1,0,1
"g13",0.583846362156601,0.583846362156601,14.5609756097561,45.9038633000381,0,0,0,0,0,0,0,0,0.787935606524169,8.94571091411813,1.6565085551752,1,0,1
"g14",0.0956598345950394,0.0956598345950394,85.3684210526316,175.731461316837,0,0,0,0,0,0,0,0,1.23260638972406,11.6307903267299,1.04159810009417,1,0,1
"g15",0.116525942952147,0.116525942952147,101.578947368421,226.957374161352,0,0,0,0,0,0,0,0,1.86520089474721,11.9299200796673,1.15981993527248,1,0,1
"g16",0.581199757005758,0.581199757005758,6.09756097560976,12.6344306059409,0,0,0,0,0,0,0,0,1.28188025907706,7.4177319890636,1.05105646286206,1,0,1
"g17",0.287337630462517,0.287337630462517,22.3684210526316,39.0300131877075,0,0,0,0,0,0,0,0,1.02920507282099,9.24535171340229,0.803120527549746,1,0,1
"g18",0.223260857953491,0.223260857953491,58.8771929824561,204.169843369821,0,0,0,0,0,0,0,0,1.33041547615983,11.4071805529703,1.79398899413402,1,0,1
"g19",0.188208304665276,0.188208304665276,324.756097560976,1256.06732748516,0,0,0,0,0,0,0,0,1.94736792915127,13.8294458891969,1.95148527855318,1,0,1
"g20",0.672627871419717,0.672627871419717,30.3658536585366,59.6968517325273,0,0,0,0,0,0,0,0,3.19863276165898,9.41426238346197,0.975204921801643,1,0,1
"g21",0.110477929565838,0.110477929565838,83.9473684210526,143.324114887019,0,0,0,0,0,0,0,0,1.35097585035244,11.4477026864205,0.771724364116815,1,0,1
"g22",1.693951205273e-07,1.693951205273e-07,3.24390243902439,7.88952966786287,0,0,0,0,0,0,0,0,1.24760844473964,7.15218454208684,1.28220886605182,1,0,1
"g23",1.26792718629838,1.26792718629838,6.70175438596491,24.6140065799096,0,0,0,0,0,0,0,0,0.64067406008088,8.70013796890862,1.8768687946635,1,0,1
"g24",0.265014199774312,0.265014199774312,763.756097560976,1211.82245970588,0,0,0,0,0,0,0,0,1.15915019953202,14.5327136112363,0.665994451521763,1,0,1
"g25",0.499173693311564,0.499173693311564,195.070175438596,420.027415556482,0,0,0,0,0,0,0,0,1.9311874989176,12.3121392486397,1.10649027785599,1,0,1
"g26",1.28302470863877,1.28302470863877,2.45614035087719,8.33542044923772,0,0,0,0,0,0,0,0,4.40813575347352,5.50614187490275,1.76286196964462,1,0,1
"g27",0.0338560176157253,0.0338560176157253,23.4146341463415,69.5268248474406,0,0,0,0,0,0,0,0,1.34163039072873,10.2856373984889,1.57015920990259,1,0,1
"g28",0.039008694623737,0.039008694623737,2.34146341463415,4.65105368705784,0,0,0,0,0,0,0,0,0.868607124267858,6.50357504469542,0.990147096867404,1,0,1
"g29",0.242032002100991,0.242032002100991,7.73684210526316,12.2161136357065,0,0,0,0,0,0,0,0,0.709315292543717,8.02415783220248,0.658968650921069,1,0,1
"g30",0.0917898173767971,0.0917898173767971,13.0731707317073,51.2136494700744,0,0,0,0,0,0,0,0,2.47303228405427,9.42248047662134,1.96991927783532,1,0,1
"g31",0.0699807255043219,0.0699807255043219,2497.90243902439,5367.26849494379,0,0,0,0,0,0,0,0,1.22242248928758,16.4144337420938,1.10347092954492,1,0,1
"g32",0.203558939561642,0.203558939561642,23.1707317073171,38.5596220069224,0,0,0,0,0,0,0,0,0.664830213041311,9.06849651383437,0.734787305442889,1,0,1
"g33",0.88563409037849,0.88563409037849,16.8292682926829,46.4960095924411,0,0,0,0,0,0,0,0,2.7954631133691,9.19349150206881,1.46613445356108,1,0,1
"g34",1.19362678332704,1.19362678332704,1.51219512195122,3.74756873029224,0,0,0,0,0,0,0,0,2.08161881777976,5.6640822425863,1.30931063162849,1,0,1
"g35",0.809562748924507,0.809562748924507,11.0731707317073,18.1020557736408,0,0,0,0,0,0,0,0,0.160546002553035,8.12759468217308,0.709085159579402,1,0,1
"g36",0.998423449855124,0.998423449855124,25.6315789473684,83.67527367322,0,0,0,0,0,0,0,0,1.32375682573186,9.85860811297813,1.70687901073049,1,0,1
"g37",9.89589905096284e-07,9.89589905096284e-07,0.853658536585366,1.82861021998134,0,0,0,0,0,0,0,0,1.01891408930317,5.11002741454058,1.09901657581157,1,0,1
"g38",0.186811547168715,0.186811547168715,123.175438596491,208.965935896631,0,0,0,0,0,0,0,0,0.467413299000457,12.0390147020691,0.762553175114868,1,0,1
"g39",2.28108922043503,2.28108922043503,107.341463414634,184.170846882844,0,0,0,0,0,0,0,0,1.94668199930081,10.4662289120756,0.778837247710805,1,0,1
"g40",0.186044669670998,0.186044669670998,463.585365853659,1733.74356154684,0,0,0,0,0,0,0,0,1.79976152050672,14.7083436695013,1.90298359478363,1,0,1
"g41",0.19326609572555,0.19326609572555,125.543859649123,241.748059826593,0,0,0,0,0,0,0,0,0.625076342314706,12.5656795728491,0.945312843141751,1,0,1
"g42",3.35350640624447,3.35350640624447,9.09756097560976,17.2181669036597,0,0,0,0,0,0,0,0,1.31225051900856,5.46291614098471,0.920379836632444,1,0,1
"g43",0.653920096228759,0.653920096228759,3.09756097560976,4.73676922717472,0,0,0,0,0,0,0,0,1.73945176598457,6.41661432033822,0.612770704158159,1,0,1
"g44",0.0209306425287235,0.0209306425287235,74.219512195122,119.90670444706,0,0,0,0,0,0,0,0,0.634604957530872,11.3291723043426,0.692041903538674,1,0,1
"g45",0.74673790453515,0.74673790453515,1.19512195121951,2.4511453699684,0,0,0,0,0,0,0,0,2.68454905583456,5.41322376525106,1.03629820909495,1,0,1
"g46",0.0487735147734925,0.0487735147734925,95.2439024390244,145.665349836723,0,0,0,0,0,0,0,0,0.584316587424446,11.523454704848,0.61295909831361,1,0,1
"g47",3.07701862985236,3.07701862985236,3.8780487804878,6.87875910674608,0,0,0,0,0,0,0,0,-0.381295187847664,7.00119344034939,0.826817382864554,1,0,1
"g48",0.0694649275337083,0.0694649275337083,0.982456140350877,3.86605823001484,0,0,0,0,0,0,0,0,2.34758566280103,5.87918646702303,1.97639845948582,1,0,1
"g49",0.032871773423165,0.032871773423165,477.463414634146,1541.16641150801,0,0,0,0,0,0,0,0,1.75601450555774,14.5906852325164,1.69056055226645,1,0,1
"g50",0.271534045930731,0.271534045930731,53.9122807017544,110.800312309077,0,0,0,0,0,0,0,0,1.23823804909727,11.2182722469159,1.03927610021485,1,0,1
"g51",0.351807066286004,0.351807066286004,2,3.13682750226241,0,0,0,0,0,0,0,0,0.261075717923293,6.34757699449794,0.649306195909904,1,0,1
"g52",0.0956180528645571,0.0956180528645571,100.439024390244,175.177378206082,0,0,0,0,0,0,0,0,0.674853367170805,11.5640676574783,0.802496562136384,1,0,1
"g53",0.0811566521723665,0.0811566521723665,34.4736842105263,66.0018213063871,0,0,0,0,0,0,0,0,1.03893477856513,10.3018397875315,0.937010347792959,1,0,1
"g54",0.281122969505019,0.281122969505019,2.19512195121951,5.43167321456506,0,0,0,0,0,0,0,0,2.15285349239765,6.80148262607809,1.30709559370535,1,0,1
"g55",0.0849563789332189,0.0849563789332189,1351.29268292683,2509.98133277984,0,0,0,0,0,0,0,0,1.32597302712102,15.6355881936541,0.893336445903132,1,0,1
"g56",0.206523840786713,0.206523840786713,337.771929824561,617.996605460222,0,0,0,0,0,0,0,0,0.718631644237288,13.4065145736807,0.871549474206888,1,0,1
"g57",0.071028101142738,0.071028101142738,32.9756097560976,111.891419476978,0,0,0,0,0,0,0,0,1.93865164145667,10.6988829454066,1.76262816392759,1,0,1
"g58",0.0908529368995745,0.0908529368995745,49.2280701754386,100.248703754197,0,0,0,0,0,0,0,0,1.17503267080665,10.9089249573579,1.02603049264083,1,0,1
"g59",0.0394853438408178,0.0394853438408178,811.368421052632,1544.65567558082,0,0,0,0,0,0,0,0,0.67904299962262,15.0119180608407,0.928856219748939,1,0,1
"g60",0.250558742178464,0.250558742178464,1.56140350877193,2.61214678634056,0,0,0,0,0,0,0,0,1.50478528741866,5.90697086517161,0.74239255281449,1,0,1
"g61",0.0652970136443117,0.0652970136443117,42.6829268292683,65.2127392595725,0,0,0,0,0,0,0,0,0.819368336912145,10.7042707313576,0.611494714164562,1,0,1
"g62",0.661869736705476,0.661869736705476,1.08771929824561,2.60231881751554,0,0,0,0,0,0,0,0,2.3860919161445,5.25366501674889,1.25849142535401,1,0,1
"g63",0.058329060265263,0.058329060265263,195.578947368421,520.537006878166,0,0,0,0,0,0,0,0,1.75057857391264,13.1126427961439,1.41224965046934,1,0,1
"g64",0.0722283267014491,0.0722283267014491,186.317073170732,306.419378039064,0,0,0,0,0,0,0,0,0.743708356118804,12.6156531424349,0.717747654806112,1,0,1
"g65",0.0673690520089409,0.0673690520089409,28.9756097560976,133.277887801791,0,0,0,0,0,0,0,0,2.23190236338398,10.8819519462479,2.20152651564743,1,0,1
"g66",0.171669649089924,0.171669649089924,1201.63414634146,2669.3911533725,0,0,0,0,0,0,0,0,1.05283244064703,15.4257625536013,1.151513008104,1,0,1
"g67",0.486133755835952,0.486133755835952,19.6829268292683,34.2259679285016,0,0,0,0,0,0,0,0,2.47117739610937,9.43467263410577,0.798146578467692,1,0,1
"g68",0.0942372081198709,0.0942372081198709,2.26315789473684,4.40328849562885,0,0,0,0,0,0,0,0,1.25757525462534,6.05287396494969,0.960244128925458,1,0,1
"g69",0.0886967469309412,0.0886967469309412,477.333333333333,794.741927381183,0,0,0,0,0,0,0,0,0.979476917505419,13.8875005392017,0.735489370444158,1,0,1
"g70",0.172853490450122,0.172853490450122,268.560975609756,523.757436058268,0,0,0,0,0,0,0,0,1.31296173936248,13.0340484281351,0.963649138572999,1,0,1
"g71",0.104204604933106,0.104204604933106,875.929824561404,2151.09869820353,0,0,0,0,0,0,0,0,1.52331089835289,15.4115006476946,1.29618652348747,1,0,1
"g72",0.360607675906603,0.360607675906603,26.6341463414634,56.1559246469562,0,0,0,0,0,0,0,0,0.553559339989535,9.81598371759657,1.07616119862685,1,0,1
"g73",0.0738364886899604,0.0738364886899604,240.859649122807,372.534084229877,0,0,0,0,0,0,0,0,0.420228345811195,12.9647839528073,0.629179706835894,1,0,1
