"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Benjamini et al. 1995) < 0.05)"
g1	5644	4610	0.291951237280564	0.291951237280564	0	0	0	TRUE
g3	2801	2051	0.449614491594653	0.449614491594653	0	0	0	TRUE
g6	844	326	1.37237103447611	1.37237103447611	0	0	0	TRUE
g7	6626	4253	0.63965734845525	0.63965734845525	0	0	0	TRUE
g8	43474	28684	0.599906619968403	0.599906619968403	0	0	0	TRUE
g9	504	165	1.6109577092541	1.6109577092541	0	0	0	TRUE
g11	983	1459	-0.569716561577311	-0.569716561577311	0	0	0	TRUE
g12	1315	756	0.798604659958592	0.798604659958592	0	0	0	TRUE
g13	7028	5783	0.281296089224886	0.281296089224886	0	0	0	TRUE
g14	5422	2320	1.22470030782278	1.22470030782278	0	0	0	TRUE
g15	6938	2766	1.32671868413589	1.32671868413589	0	0	0	TRUE
g17	4596	2435	0.916457025676408	0.916457025676408	0	0	0	TRUE
g18	1409	515	1.45202727423906	1.45202727423906	0	0	0	TRUE
g20	11237	4908	1.19504976909513	1.19504976909513	0	0	0	TRUE
g22	1645	741	1.15054213631677	1.15054213631677	0	0	0	TRUE
g23	3981	5310	-0.415580989600167	-0.415580989600167	0	0	0	TRUE
g25	20362	16225	0.327660794798845	0.327660794798845	0	0	0	TRUE
g26	2071	406	2.35077592103534	2.35077592103534	0	0	0	TRUE
g29	32	146	-2.18982455888002	-2.18982455888002	0	0	0	TRUE
g34	643	180	1.83682183099827	1.83682183099827	0	0	0	TRUE
g36	4134	1432	1.52950689616119	1.52950689616119	0	0	0	TRUE
g37	95	7	3.76250068627334	3.76250068627334	0	0	0	TRUE
g38	8001	2868	1.48013530157018	1.48013530157018	0	0	0	TRUE
g40	14207	12314	0.206302468525376	0.206302468525376	0	0	0	TRUE
g41	829	433	0.937005076769026	0.937005076769026	0	0	0	TRUE
g48	5195	3414	0.605660690763836	0.605660690763836	0	0	0	TRUE
g49	11051	9261	0.254937035559696	0.254937035559696	0	0	0	TRUE
g52	17813	10083	0.821005561819572	0.821005561819572	0	0	0	TRUE
g55	6465	14520	-1.1673191781855	-1.1673191781855	0	0	0	TRUE
g56	10555	5114	1.04540251299287	1.04540251299287	0	0	0	TRUE
g59	72	633	-3.13613668798603	-3.13613668798603	0	0	0	TRUE
g61	12651	6498	0.961183778670808	0.961183778670808	0	0	0	TRUE
g62	404	9	5.48828648130948	5.48828648130948	0	0	0	TRUE
g63	10075	11914	-0.241878025440874	-0.241878025440874	0	0	0	TRUE
g65	7516	9023	-0.263642118999201	-0.263642118999201	0	0	0	TRUE
g67	1616	481	1.74831839898175	1.74831839898175	0	0	0	TRUE
g70	1406	2106	-0.582908841953182	-0.582908841953182	0	0	0	TRUE
g74	20486	15728	0.381303091207878	0.381303091207878	0	0	0	TRUE
g76	4523	3215	0.492461258416101	0.492461258416101	0	0	0	TRUE
g77	4702	2496	0.913656604790773	0.913656604790773	0	0	0	TRUE
g78	3759	8583	-1.19113308300132	-1.19113308300132	0	0	0	TRUE
g79	4633	2423	0.935152277581926	0.935152277581926	0	0	0	TRUE
g83	90984	113229	-0.315558738400082	-0.315558738400082	0	0	0	TRUE
g84	12096	14231	-0.234506997681265	-0.234506997681265	0	0	0	TRUE
g85	13223	4507	1.55281017373062	1.55281017373062	0	0	0	TRUE
g87	1098	369	1.5731853329448	1.5731853329448	0	0	0	TRUE
g93	287	117	1.29454220709228	1.29454220709228	0	0	0	TRUE
g94	1313	507	1.37280926388955	1.37280926388955	0	0	0	TRUE
g95	4555	1094	2.05783831589686	2.05783831589686	0	0	0	TRUE
g96	2235	157	3.83143836717905	3.83143836717905	0	0	0	TRUE
g97	52220	31410	0.733378514660878	0.733378514660878	0	0	0	TRUE
g100	9196	6115	0.588653967303431	0.588653967303431	0	0	0	TRUE
g101	36960	20396	0.857678513674861	0.857678513674861	0	0	0	TRUE
g103	4157	2531	0.715835240513687	0.715835240513687	0	0	0	TRUE
g105	4396	3391	0.374480601923802	0.374480601923802	0	0	0	TRUE
g106	2026	705	1.52293901151498	1.52293901151498	0	0	0	TRUE
g114	1241	596	1.05811887966819	1.05811887966819	0	0	0	TRUE
g116	828	130	2.67111914447087	2.67111914447087	0	0	0	TRUE
g117	74831	43135	0.794777098643921	0.794777098643921	0	0	0	TRUE
g118	3515	2147	0.711202498101125	0.711202498101125	0	0	0	TRUE
g119	201	539	-1.42308977157358	-1.42308977157358	0	0	0	TRUE
g121	15510	2057	2.91458498739852	2.91458498739852	0	0	0	TRUE
g122	2242	2943	-0.392501264134969	-0.392501264134969	0	0	0	TRUE
g125	28078	14426	0.960768847000576	0.960768847000576	0	0	0	TRUE
g127	32482	26158	0.312388226856134	0.312388226856134	0	0	0	TRUE
g129	6898	9242	-0.422026960705681	-0.422026960705681	0	0	0	TRUE
g132	1369	460	1.57341668031352	1.57341668031352	0	0	0	TRUE
g133	5598	3197	0.808192742792395	0.808192742792395	0	0	0	TRUE
g134	89	6	3.89077093024524	3.89077093024524	0	0	0	TRUE
g135	41	227	-2.46899648267283	-2.46899648267283	0	0	0	TRUE
g137	26079	37869	-0.538128774284957	-0.538128774284957	0	0	0	TRUE
g140	461	188	1.2940340887517	1.2940340887517	0	0	0	TRUE
g141	42908	30451	0.494757050182313	0.494757050182313	0	0	0	TRUE
g142	3746	169	4.47025574796086	4.47025574796086	0	0	0	TRUE
g146	4556	3672	0.311201688294304	0.311201688294304	0	0	0	TRUE
g148	1663	387	2.10338269714286	2.10338269714286	0	0	0	TRUE
g150	3035	1708	0.829388541522555	0.829388541522555	0	0	0	TRUE
g152	12348	9848	0.326374721130668	0.326374721130668	0	0	0	TRUE
g154	107	7	3.93411206434354	3.93411206434354	0	0	0	TRUE
g158	4573	3380	0.436117672637417	0.436117672637417	0	0	0	TRUE
g160	19197	9841	0.964004043656061	0.964004043656061	0	0	0	TRUE
g161	848	4449	-2.39134492861259	-2.39134492861259	0	0	0	TRUE
g164	1625	4044	-1.31534327909984	-1.31534327909984	0	0	0	TRUE
g165	4659	1912	1.28493780712771	1.28493780712771	0	0	0	TRUE
g166	3741	1676	1.15840181685147	1.15840181685147	0	0	0	TRUE
