V1 V2 V3 V4 V5 V6 V7 V8 V9
GeneNames value1 value2 log2(Fold_change) "log2(Fold_change) normalized" p-value "q-value(Benjamini et al. 1995)" "q-value(Storey et al. 2003)" "Signature(q-value(Benjamini et al. 1995) < 0.005)"
g1 609 609 0 0 1 1 1 FALSE
g2 1169 1169 0 0 1 1 1 FALSE
g3 1845 1845 0 0 1 1 1 FALSE
g4 28 28 0 0 1 1 1 FALSE
g5 659 659 0 0 1 1 1 FALSE
g6 70 70 0 0 1 1 1 FALSE
g7 43 43 0 0 1 1 1 FALSE
g8 39 39 0 0 1 1 1 FALSE
g9 101 101 0 0 1 1 1 FALSE
g10 17 17 0 0 1 1 1 FALSE
g11 465 465 0 0 1 1 1 FALSE
g12 565 565 0 0 1 1 1 FALSE
g13 40 40 0 0 1 1 1 FALSE
g15 3 3 0 0 1 1 1 FALSE
g16 13995 13995 0 0 1 1 1 FALSE
g17 450 450 0 0 1 1 1 FALSE
g18 2 2 0 0 1 1 1 FALSE
g19 5 5 0 0 1 1 1 FALSE
g20 175 175 0 0 1 1 1 FALSE
g21 165 165 0 0 1 1 1 FALSE
g22 258 258 0 0 1 1 1 FALSE
g24 46 46 0 0 1 1 1 FALSE
g25 20 20 0 0 1 1 1 FALSE
g27 362 362 0 0 1 1 1 FALSE
g28 82 82 0 0 1 1 1 FALSE
g29 35 35 0 0 1 1 1 FALSE
g30 1409 1409 0 0 1 1 1 FALSE
g31 10 10 0 0 1 1 1 FALSE
g32 462 462 0 0 1 1 1 FALSE
g33 6 6 0 0 1 1 1 FALSE
g34 567 567 0 0 1 1 1 FALSE
g35 21 21 0 0 1 1 1 FALSE
g36 2005 2005 0 0 1 1 1 FALSE
g37 10 10 0 0 1 1 1 FALSE
g38 8305 8305 0 0 1 1 1 FALSE
g39 129 129 0 0 1 1 1 FALSE
g40 30 30 0 0 1 1 1 FALSE
g41 86 86 0 0 1 1 1 FALSE
g42 11 11 0 0 1 1 1 FALSE
g43 878 878 0 0 1 1 1 FALSE
g44 1390 1390 0 0 1 1 1 FALSE
g45 1412 1412 0 0 1 1 1 FALSE
g46 2 2 0 0 1 1 1 FALSE
g47 960 960 0 0 1 1 1 FALSE
g48 1768 1768 0 0 1 1 1 FALSE
g49 14 14 0 0 1 1 1 FALSE
g50 32 32 0 0 1 1 1 FALSE
g51 120 120 0 0 1 1 1 FALSE
g52 319 319 0 0 1 1 1 FALSE
g53 395 395 0 0 1 1 1 FALSE
g54 3181 3181 0 0 1 1 1 FALSE
g55 2 2 0 0 1 1 1 FALSE
g56 1 1 0 0 1 1 1 FALSE
g57 330 330 0 0 1 1 1 FALSE
g58 7 7 0 0 1 1 1 FALSE
g59 29 29 0 0 1 1 1 FALSE
g60 9 9 0 0 1 1 1 FALSE
g61 7 7 0 0 1 1 1 FALSE
g62 6866 6866 0 0 1 1 1 FALSE
g63 944 944 0 0 1 1 1 FALSE
g64 175 175 0 0 1 1 1 FALSE
g65 56 56 0 0 1 1 1 FALSE
g66 5885 5885 0 0 1 1 1 FALSE
g67 285 285 0 0 1 1 1 FALSE
g68 3 3 0 0 1 1 1 FALSE
g69 149 149 0 0 1 1 1 FALSE
g70 1045 1045 0 0 1 1 1 FALSE
g71 12 12 0 0 1 1 1 FALSE
g72 31 31 0 0 1 1 1 FALSE
g73 85 85 0 0 1 1 1 FALSE
g74 12 12 0 0 1 1 1 FALSE
g75 9 9 0 0 1 1 1 FALSE
g76 413 413 0 0 1 1 1 FALSE
g77 633 633 0 0 1 1 1 FALSE
g78 15 15 0 0 1 1 1 FALSE
g79 1447 1447 0 0 1 1 1 FALSE
g80 24 24 0 0 1 1 1 FALSE
g81 3363 3363 0 0 1 1 1 FALSE
g82 1202 1202 0 0 1 1 1 FALSE
g83 62 62 0 0 1 1 1 FALSE
g84 16626 16626 0 0 1 1 1 FALSE
g85 271 271 0 0 1 1 1 FALSE
g86 1 1 0 0 1 1 1 FALSE
g87 8 8 0 0 1 1 1 FALSE
g88 140 140 0 0 1 1 1 FALSE
g89 2349 2349 0 0 1 1 1 FALSE
g90 2 2 0 0 1 1 1 FALSE
g91 440 440 0 0 1 1 1 FALSE
g92 12 12 0 0 1 1 1 FALSE
g93 368 368 0 0 1 1 1 FALSE
g94 2 2 0 0 1 1 1 FALSE
g95 63 63 0 0 1 1 1 FALSE
g97 1412 1412 0 0 1 1 1 FALSE
g98 14 14 0 0 1 1 1 FALSE
g99 812 812 0 0 1 1 1 FALSE
g100 779 779 0 0 1 1 1 FALSE
g101 3 3 0 0 1 1 1 FALSE
g102 1146 1146 0 0 1 1 1 FALSE
g103 2327 2327 0 0 1 1 1 FALSE
g104 562 562 0 0 1 1 1 FALSE
g105 15 15 0 0 1 1 1 FALSE
g106 182 182 0 0 1 1 1 FALSE
g107 265 265 0 0 1 1 1 FALSE
g108 951 951 0 0 1 1 1 FALSE
g109 10 10 0 0 1 1 1 FALSE
g110 1827 1827 0 0 1 1 1 FALSE
g111 667 667 0 0 1 1 1 FALSE
g112 223 223 0 0 1 1 1 FALSE
g113 1476 1476 0 0 1 1 1 FALSE
g114 106 106 0 0 1 1 1 FALSE
g115 210 210 0 0 1 1 1 FALSE
g116 45 45 0 0 1 1 1 FALSE
g117 105 105 0 0 1 1 1 FALSE
g118 29 29 0 0 1 1 1 FALSE
g119 16 16 0 0 1 1 1 FALSE
g121 719 719 0 0 1 1 1 FALSE
g123 351 351 0 0 1 1 1 FALSE
