"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g4",32582.0505402804,0.803856323758082,0.207402529496035,3.87582700033295,0.000106263166067962,0.00289741237373891
"g6",24671.4677743495,2.35598725965217,0.212256642545771,11.0997103854789,1.25851030970863e-28,1.01443796651951e-25
"g9",2923.69412228876,1.38624234431162,0.296357869346019,4.67759586533229,2.90257887247768e-06,0.000116618566100762
"g11",11328.2528157777,1.98638957593134,0.181606804795557,10.9378587336939,7.59730509588723e-28,5.76367316597986e-25
"g12",3314.52783890959,0.977779778217819,0.172684524172353,5.66223164990694,1.49416928225265e-08,9.58721454388675e-07
"g14",2847.18329877759,1.48403515672497,0.289624010862563,5.12400595622301,2.99111527096328e-07,1.51280053527896e-05
"g16",9835.43728840784,1.63367800213586,0.249427129566771,6.54972057359352,5.7644840471442e-11,6.19537922966823e-09
"g18",2711.54963980649,1.78564493643421,0.367874841304859,4.85394687524836,1.21028170867398e-06,5.27331189080011e-05
"g19",35602.2394242146,0.962336664462933,0.241966475037502,3.97714875299886,6.97465373861657e-05,0.0019856977763121
"g22",21904.6839648357,1.70461665385041,0.263362793982771,6.47250368236117,9.63921711617677e-11,9.94535865178655e-09
"g23",96.3081980140219,2.45358028649622,0.643034405694855,3.81562831594509,0.000135836844455235,0.00354633154441128
"g25",296.810699338644,1.23907713574615,0.253555942322918,4.88679982963331,1.02488199701656e-06,4.64173530965809e-05
"g28",8709.10604559445,1.67542018150984,0.214442376129425,7.81291558016805,5.5880025992456e-15,1.1814503200405e-12
"g31",12593.7320508364,1.39252762999506,0.455510299190768,3.05707166768555,0.0022351082928861,0.0403063352078151
"g32",5914.04821364621,0.550759102078763,0.175074518852596,3.14585529458159,0.00165601917926889,0.0312703943704697
"g33",12918.548942259,1.26410591263065,0.409882908374026,3.08406592908512,0.00204192339762765,0.0375212861821866
"g35",1259.77317857159,0.890385638144153,0.280968371526322,3.16898885560413,0.0015297026043589,0.029270882030292
"g39",583.233641046423,1.29637103179385,0.259343001350344,4.99867366786038,5.77260016166217e-07,2.7472038481534e-05
"g40",8778.44650192282,1.4997110810243,0.426564949445367,3.51578600861198,0.000438454224280275,0.00983433761833514
"g41",10668.6345105632,1.25958045735102,0.213249853966896,5.90659470063012,3.4925156678543e-09,2.57388426104668e-07
"g42",2482.80363235225,1.90386545971433,0.574928617075813,3.3114814659909,0.000928033871968105,0.01878940792272
"g44",486.370308269207,1.44737535820414,0.282278933061314,5.12746503080253,2.93669504888292e-07,1.4911242537576e-05
"g45",25577.2807862414,2.04271928558744,0.347491046615329,5.87848033923223,4.14049973674878e-09,2.98324162596922e-07
"g46",4842.65493774996,3.11461133590822,0.811215706971549,3.83943667404539,0.000123316930602755,0.00328559641783522
"g50",4568.91106336066,2.37427616465095,0.286088666806061,8.29909199535146,1.04910110538636e-16,2.70605139123358e-14
"g53",14102.7889990042,1.30969169519624,0.273315909162897,4.79186044898565,1.6524182668479e-06,7.03341200908825e-05
"g55",7381.17361239946,1.62560933232841,0.192629137964293,8.4390624881981,3.19893049261481e-17,8.59512636734442e-15
"g58",94402.3233836419,1.31503603218758,0.26400154120304,4.98116801210717,6.32016367287937e-07,2.94264082632221e-05
"g59",88975.1837119662,1.51725692446229,0.259224022186995,5.85307222556634,4.82574428075636e-09,3.41964966972059e-07
"g60",484.118749836576,1.07963546588779,0.325929021119247,3.31248644928977,0.00092470605540766,0.0187514685481015
"g61",9345.65176593628,1.0265052802429,0.342087450847845,3.00071013332633,0.00269350835732226,0.0465659212927416
"g62",10463.5909562854,1.17721846806831,0.302579140445392,3.89061343202795,9.99911205314315e-05,0.00276142501390551
"g72",536.524067328874,1.44159474741785,0.386285104686009,3.73194495446479,0.000190007027439387,0.00474907099396468
"g74",119416.095075987,1.42126481768859,0.331054877873299,4.29313963539463,1.76164136239901e-05,0.00058405883421234
"g75",7224.77864419971,1.0433671944455,0.258303566337288,4.03930619015569,5.36095444431929e-05,0.0015678056568795
"g76",597.789797406808,1.33056814520607,0.280844477593507,4.7377401065793,2.16114724423215e-06,8.93343461822501e-05
"g77",1419.05316006582,1.34243331200101,0.256054165929774,5.24277082986101,1.58182960140696e-07,8.16034254773823e-06
"g78",82.5916200249622,2.06806848540139,0.508437499268908,4.06749794886315,4.75206267212687e-05,0.00141541229289654
"g82",18395.0032268335,1.635384355266,0.261138111959714,6.26252653430495,3.78789395767474e-10,3.51456606993749e-08
"g83",1245.24375890897,2.27540657608881,0.45377153344012,5.01443217215183,5.31903116714084e-07,2.55016895771805e-05
"g84",6978.7022948694,2.33014224454718,0.243294249956465,9.57746533246936,9.9455685584701e-22,4.13767734511577e-19
"g86",386.826080239929,0.81351030345616,0.187328536217552,4.34269289603267,1.4074681409129e-05,0.000485350711586998
"g88",3327.04488149328,2.20369279491869,0.198050121301861,11.1269449391545,9.27604106974264e-29,7.97554011176473e-26
"g91",52943.3663633455,1.30840848911994,0.213653419172985,6.12397636407858,9.12684413467839e-10,7.79529197383756e-08
"g92",43702.1070096507,1.76529744843006,0.24097177478756,7.32574364772116,2.37577558474505e-13,3.9792698333061e-11
"g93",1070.42639420311,2.16716406872035,0.603431886988572,3.591397994454,0.000328908909232695,0.0077126149134074
"g95",72.2396319927838,1.32550859890851,0.325982292079562,4.06619816816614,4.77863058477701e-05,0.00142004605188639
"g96",146.444284040346,1.37427788687949,0.446440320794098,3.07830145009084,0.00208184206216658,0.0381338517047203
"g97",8801.0135826839,2.36551609024609,0.405929157246875,5.82741113323734,5.62938088362732e-09,3.92443920303468e-07
"g98",775.66982282883,2.33219812277031,0.29032853047042,8.0329622410565,9.51469573586129e-16,2.19126840902505e-13
"g100",25600.5953658677,2.44954489929176,0.551356587865957,4.44275982766943,8.88122842033812e-06,0.000323562720161301
"g105",65045.3748948343,2.40250509042596,0.455833333652519,5.27057789121096,1.35994898007989e-07,7.12978129922373e-06
"g107",627.218126133743,1.91468917074391,0.410753290565622,4.66140920772006,3.14051604106643e-06,0.00012539701356543
"g109",281788.389973507,2.36637433117309,0.472544902381081,5.00772375122298,5.50775069473396e-07,2.63086891518459e-05
"g110",71.8522566858498,2.00426072815897,0.44425710271204,4.51148831594055,6.43743299463459e-06,0.000244186980387654
"g113",8894.57289036069,1.41080303263055,0.259823737224562,5.42984658638489,5.64025160555323e-08,3.27668130436126e-06
"g116",6099.41276893655,2.13100428261605,0.557553187441291,3.82206456821743,0.000132339025132948,0.00347358006361477
"g117",4761.94619214984,1.91246008640159,0.458245720657237,4.17343796175261,3.00037387458413e-05,0.000936944839237567
"g118",8061.53951484965,2.66078925812289,0.735750574700385,3.61642837887884,0.000298695912605631,0.00708139923690225
"g121",21796.072385994,0.851866753958414,0.229358406713559,3.71412919266697,0.000203904611819612,0.00507675246841224
"g122",20509.8855659802,1.44339494000443,0.427819410949295,3.37384163285545,0.000741270005278395,0.0156981268605508
"g123",23741.1910531172,1.96208412191201,0.643191723374638,3.05054317493007,0.00228427835412035,0.0409171360181808
"g125",9725.93704842167,1.26155757486184,0.259749715542813,4.85681985146932,1.19286026800923e-06,5.21502334797119e-05
"g131",15490.6161943426,2.40424920608198,0.344891378344935,6.9710330760354,3.14621982953129e-12,4.31668054696436e-10
"g132",22169.5323980654,1.89746633695483,0.332300725643944,5.71008785273596,1.12917869817866e-08,7.43011105633173e-07
"g137",14032.4807596449,1.16419911996303,0.19662256200584,5.92098438798927,3.20020242496656e-09,2.43125303782589e-07
"g138",868.175107337545,1.65448215709801,0.227209374782497,7.28175128637104,3.29514165452024e-13,5.37942302763892e-11
"g139",82933.4789156713,1.71436185018218,0.234351073143506,7.31535737040292,2.56697305981009e-13,4.24439122466291e-11
"g140",30.5676242446504,1.37822858671318,0.404226389973596,3.40954628618682,0.000650710348871107,0.0139405504474928
"g142",24101.1514807265,1.70712311513396,0.28901436844281,5.90670672995195,3.49014251704916e-09,2.57388426104668e-07
"g143",1886.25280404509,1.70337999297915,0.513294296367923,3.31852507427472,0.000904941974096929,0.0184960961013124
"g144",1774.05470429427,0.583422431438301,0.177613195778725,3.28479215117071,0.00102057629396433,0.0203658253034533
"g147",11250.0940106467,1.42718831065566,0.150911406845095,9.45712680367903,3.16520815289187e-21,1.23702089538929e-18
"g149",10722.2864154407,2.30950169396054,0.458138275367133,5.04105816548465,4.62964711431248e-07,2.23627561173364e-05
"g150",120.025126060229,2.07985744184047,0.689531368250018,3.01633477113449,0.00255850614531507,0.0450164444149093
"g151",3043.70642151682,1.3151646390744,0.411533379448742,3.19576662489953,0.001394598638,0.0269657250888845
"g152",1228.02488905156,1.79206661220666,0.472089248575792,3.79603352038412,0.000147029626912924,0.00380008236131459
"g154",49121.2800462732,1.20524450344141,0.176221800330681,6.83936097111578,7.95472153887948e-12,9.86461958528159e-10
"g155",6061.9725455298,2.09227565799784,0.473314359600849,4.42047788231541,9.8482865826149e-06,0.000350865613414321
"g160",1657.01486546031,1.15681668646046,0.325590520374835,3.55298024380034,0.000380893069377509,0.00871672153678102
"g162",2849.07857561085,2.15438357124534,0.567054473819447,3.79925328290648,0.000145132710500347,0.00375858748458429
"g163",10372.506114726,1.11884562955551,0.288513164068431,3.87797081345703,0.00010533135003835,0.00288396005077001
"g167",12852.0355282616,2.61918202127836,0.200882032815163,13.0384085852433,7.39852231928763e-39,1.59031237253088e-35
"g168",125.502441360647,3.71594771499203,0.650504309049544,5.71241060712023,1.11386930869386e-08,7.36696024319215e-07
"g171",25297.9192670194,2.1239017447126,0.343933025852822,6.17533526897027,6.60232139021344e-10,5.83220129928649e-08
