"","x"
"1","g4"
"2","g6"
"3","g9"
"4","g11"
"5","g12"
"6","g14"
"7","g16"
"8","g18"
"9","g19"
"10","g22"
"11","g23"
"12","g25"
"13","g28"
"14","g31"
"15","g32"
"16","g33"
"17","g35"
"18","g39"
"19","g40"
"20","g41"
"21","g42"
"22","g44"
"23","g45"
"24","g46"
"25","g50"
"26","g53"
"27","g55"
"28","g58"
"29","g59"
"30","g60"
"31","g61"
"32","g62"
"33","g72"
"34","g74"
"35","g75"
"36","g76"
"37","g77"
"38","g78"
"39","g82"
"40","g83"
"41","g84"
"42","g86"
"43","g88"
"44","g91"
"45","g92"
"46","g93"
"47","g95"
"48","g96"
"49","g97"
"50","g98"
"51","g100"
"52","g105"
"53","g107"
"54","g109"
"55","g110"
"56","g113"
"57","g116"
"58","g117"
"59","g118"
"60","g121"
"61","g122"
"62","g123"
"63","g125"
"64","g131"
"65","g132"
"66","g137"
"67","g138"
"68","g139"
"69","g140"
"70","g142"
"71","g143"
"72","g144"
"73","g147"
"74","g149"
"75","g150"
"76","g151"
"77","g152"
"78","g154"
"79","g155"
"80","g160"
"81","g162"
"82","g163"
"83","g167"
"84","g168"
"85","g171"
"86","g172"
"87","g173"
"88","g174"
"89","g175"
"90","g176"
"91","g181"
"92","g182"
"93","g183"
"94","g184"
"95","g185"
"96","g186"
"97","g190"
"98","g191"
"99","g192"
"100","g193"
"101","g195"
"102","g197"
"103","g198"
"104","g200"
"105","g203"
"106","g204"
"107","g205"
"108","g206"
"109","g208"
"110","g209"
"111","g210"
"112","g215"
"113","g218"
"114","g219"
"115","g222"
"116","g225"
"117","g231"
"118","g233"
"119","g237"
"120","g238"
"121","g239"
"122","g242"
"123","g246"
"124","g247"
"125","g249"
"126","g250"
"127","g251"
"128","g254"
"129","g258"
"130","g262"
"131","g263"
"132","g265"
"133","g266"
"134","g269"
"135","g271"
"136","g272"
"137","g273"
"138","g275"
"139","g276"
"140","g277"
"141","g278"
"142","g279"
"143","g281"
"144","g282"
"145","g284"
"146","g285"
"147","g286"
"148","g289"
"149","g290"
"150","g291"
"151","g296"
"152","g298"
"153","g299"
"154","g301"
"155","g302"
"156","g304"
"157","g305"
"158","g306"
"159","g308"
"160","g310"
"161","g312"
"162","g318"
"163","g319"
"164","g320"
"165","g321"
"166","g328"
"167","g329"
"168","g331"
"169","g333"
"170","g335"
"171","g336"
"172","g338"
"173","g341"
"174","g346"
"175","g347"
"176","g348"
"177","g351"
"178","g352"
"179","g353"
"180","g356"
"181","g358"
"182","g360"
"183","g361"
"184","g362"
"185","g363"
"186","g364"
"187","g366"
"188","g367"
"189","g368"
"190","g369"
"191","g370"
"192","g372"
"193","g373"
"194","g375"
"195","g376"
"196","g380"
"197","g382"
"198","g384"
"199","g386"
"200","g387"
"201","g388"
"202","g389"
"203","g390"
"204","g392"
"205","g393"
"206","g397"
"207","g400"
"208","g401"
"209","g402"
"210","g404"
"211","g405"
"212","g408"
"213","g411"
"214","g414"
"215","g416"
"216","g417"
"217","g418"
"218","g419"
"219","g421"
"220","g422"
"221","g423"
"222","g424"
"223","g425"
"224","g426"
"225","g428"
"226","g430"
"227","g432"
"228","g435"
"229","g439"
"230","g440"
"231","g444"
"232","g445"
"233","g448"
"234","g449"
"235","g451"
"236","g452"
"237","g453"
"238","g454"
"239","g455"
"240","g462"
"241","g467"
"242","g470"
"243","g472"
"244","g476"
