"","x"
"1","g9281"
"2","g3929"
"3","g4714"
"4","g9173"
"5","g7580"
"6","g484"
"7","g8559"
"8","g3"
"9","g6911"
"10","g430"
"11","g536"
"12","g11547"
"13","g446"
"14","g10826"
"15","g331"
"16","g3763"
"17","g8632"
"18","g580"
"19","g4177"
"20","g216"
"21","g214"
"22","g237"
"23","g442"
"24","g226"
"25","g777"
"26","g435"
"27","g1189"
"28","g629"
"29","g1011"
"30","g588"
"31","g69"
"32","g1175"
"33","g296"
"34","g453"
"35","g621"
"36","g1125"
"37","g680"
"38","g922"
"39","g707"
"40","g1023"
"41","g1135"
"42","g577"
"43","g390"
"44","g685"
"45","g652"
"46","g1103"
"47","g134"
"48","g1903"
"49","g1003"
"50","g1112"
"51","g9541"
"52","g467"
"53","g310"
"54","g88"
"55","g920"
"56","g221"
"57","g139"
"58","g814"
"59","g606"
"60","g613"
"61","g873"
"62","g575"
"63","g775"
"64","g1201"
"65","g200"
"66","g85"
"67","g356"
"68","g125"
"69","g300"
"70","g651"
"71","g457"
"72","g1077"
"73","g587"
"74","g1065"
"75","g594"
"76","g513"
"77","g1030"
"78","g437"
"79","g9165"
"80","g1247"
"81","g346"
"82","g48"
"83","g1198"
"84","g500"
"85","g1151"
"86","g946"
"87","g291"
"88","g503"
"89","g581"
"90","g275"
"91","g136"
"92","g96"
"93","g343"
"94","g3065"
"95","g113"
"96","g6536"
"97","g1931"
"98","g1104"
"99","g508"
"100","g527"
"101","g2680"
"102","g1024"
"103","g967"
"104","g380"
"105","g800"
"106","g554"
"107","g1101"
"108","g825"
"109","g909"
"110","g373"
"111","g114"
"112","g840"
"113","g940"
"114","g507"
"115","g163"
"116","g1212"
"117","g199"
"118","g7127"
"119","g747"
"120","g471"
"121","g395"
"122","g254"
"123","g702"
"124","g304"
"125","g1281"
"126","g451"
"127","g546"
"128","g4129"
"129","g973"
"130","g228"
"131","g955"
"132","g624"
"133","g1027"
"134","g1276"
"135","g677"
"136","g11142"
"137","g4419"
"138","g862"
"139","g422"
"140","g10751"
"141","g316"
"142","g877"
"143","g1273"
"144","g6"
"145","g2408"
"146","g472"
"147","g593"
"148","g822"
"149","g355"
"150","g3521"
"151","g5465"
"152","g78"
"153","g1067"
"154","g509"
"155","g589"
"156","g1039"
"157","g38"
"158","g376"
"159","g948"
"160","g6284"
"161","g979"
"162","g40"
"163","g128"
"164","g41"
"165","g1169"
"166","g1118"
"167","g571"
"168","g189"
"169","g633"
"170","g323"
"171","g841"
"172","g342"
"173","g1204"
"174","g12230"
"175","g156"
"176","g445"
"177","g1235"
"178","g620"
"179","g188"
"180","g872"
"181","g688"
"182","g1071"
"183","g880"
"184","g4746"
"185","g3435"
"186","g3358"
"187","g748"
"188","g1279"
"189","g7980"
"190","g490"
"191","g790"
"192","g369"
"193","g1054"
"194","g631"
"195","g443"
"196","g1197"
"197","g6753"
"198","g1142"
"199","g566"
"200","g788"
"201","g10127"
"202","g634"
"203","g5396"
"204","g36"
"205","g1183"
"206","g4894"
"207","g448"
"208","g739"
"209","g264"
"210","g989"
"211","g1080"
"212","g1217"
"213","g232"
"214","g765"
"215","g863"
"216","g456"
"217","g1146"
"218","g666"
"219","g153"
"220","g12044"
"221","g6971"
"222","g5303"
"223","g934"
"224","g1148"
"225","g3256"
"226","g859"
"227","g11992"
"228","g2647"
"229","g118"
"230","g306"
"231","g590"
"232","g898"
"233","g1193"
"234","g647"
"235","g8758"
"236","g307"
"237","g520"
"238","g204"
"239","g462"
"240","g10004"
"241","g5922"
"242","g168"
"243","g579"
"244","g526"
"245","g480"
"246","g837"
"247","g2674"
"248","g10129"
"249","g1184"
"250","g381"
"251","g535"
"252","g945"
"253","g772"
"254","g990"
"255","g9290"
"256","g7369"
"257","g464"
"258","g7879"
"259","g362"
"260","g341"
"261","g530"
"262","g917"
"263","g1174"
"264","g299"
