"","X1_mean","X2_mean","M","D","prob","ranking"
"g9281",25.1514559657063,15934.0337375585,-9.30725390227691,15908.8822815928,0.964557205508964,-15908.8850041275
"g3929",17774.7435264311,125.843034883955,7.14205956404646,17648.9004915471,0.962849119027468,17648.9019366516
"g4714",37113.0692320635,1548.5417727705,4.58294510997318,35564.527459293,0.95990613218435,35564.5277545786
"g9173",1300.5398688934,33062.1353557335,-4.66799737392072,31761.5954868401,0.959132876817727,-31761.5958298676
"g7580",30868.172311245,1541.81733579197,4.32341630461528,29326.354975453,0.952581364930369,29326.3552941413
"g484",20276.2654176869,237141.112583346,-3.54788194181483,216864.847165659,0.950546279910749,-216864.847194681
"g8559",25176.607421672,1283.40682904553,4.29403342115806,23893.2005926265,0.947384011695007,23893.2009784836
"g3",1913.60660805749,29320.4664941075,-3.9375418755246,27406.85988605,0.944494883434639,-27406.8601689032
"g6911",22888.8729061247,1269.95795508847,4.17179378432747,21618.9149510362,0.942425175040394,21618.9153535509
"g430",10275.4177393229,96803.0734752381,-3.23585580668854,86527.6557359151,0.939666846195276,-86527.6557964204
"g536",20483.764929404,180198.580249137,-3.13703483135663,159714.815319733,0.93816649996153,-159714.815350541
"g11547",62236.2298098084,6516.94006605155,3.25548803419248,55719.2897437569,0.937439409094406,55719.2898388604
"g446",126975.029488205,1036262.63613969,-3.02877297987285,909287.606651486,0.935492806032161,-909287.60665653
"g10826",9462.18732976511,23.0552124978239,8.68093694998224,9439.13211726728,0.935127337077787,9439.13610908822
"g331",13561.8746521752,111549.763769159,-3.04005893787111,97987.8891169834,0.933530814803416,-97987.8891641421
"g3763",107936.425299497,13193.3453518797,3.03229948220367,94743.0799476172,0.933049934600292,94743.0799961423
"g8632",13334.463571152,471.671222351314,4.82123439629978,12862.7923488007,0.931099484496422,12862.7932523487
"g580",6973.24116649208,58179.8287382586,-3.06061776706176,51206.5875717665,0.930160806339925,-51206.5876632331
"g4177",8659.43669352631,19.2126770815199,8.81607081161318,8640.22401644479,0.929352927598677,8640.22851419185
"g216",6683.99942288646,52418.9075153648,-2.97130377221598,45734.9080924784,0.925563591598061,-45734.9081889982
"g214",16167.1462992897,112814.918554977,-2.80282090826641,96647.7722556871,0.923720858659691,-96647.7722963285
"g237",2913.37698269432,25719.0501751766,-3.14207306447868,22805.6731924823,0.919231361083327,-22805.6734089333
"g442",4313.47469811864,31820.9964162673,-2.88305661314372,27507.5217181487,0.914318688928214,-27507.5218692349
"g226",23381.4222521198,140391.834603936,-2.58602443447696,117010.412351817,0.914203277679465,-117010.412380393
"g777",573417.56478882,97582.1475308937,2.55489695882696,475835.417257926,0.913730091559591,475835.417264785
"g435",64105.8213699259,369292.629987019,-2.52623719356162,305186.808617093,0.912502885281219,-305186.808627548
"g1189",28451.5365838734,3847.33858557436,2.88657386544046,24604.197998299,0.91210279295222,24604.198167626
"g629",349235.301925156,1992371.90476299,-2.5122156681348,1643136.60283783,0.911660383165346,-1643136.60283975
"g1011",99314.7157899191,16789.9585015402,2.56440883800846,82524.7572883789,0.911414172501346,82524.7573282226
"g588",32519.7845863264,185976.792881405,-2.51573299980012,153457.008295078,0.911106409171347,-153457.008315699
"g69",6020.62977179096,39771.2021926003,-2.72373786295106,33750.5724208093,0.910940986381473,-33750.5725307149
"g1175",8131.25611824648,152.740782798083,5.73432100957566,7978.5153354484,0.910140801723475,7978.51739613461
"g296",33111.8917788524,187752.044243737,-2.50340727231129,154640.152464885,0.90992152035085,-154640.152485148
"g453",1723.92271098279,16615.1231400984,-3.26872998503708,14891.2004291156,0.908074940370855,-14891.200787871
"g621",4634.15576168139,31250.3799069462,-2.75349528703413,26616.2241452648,0.907821035623605,-26616.2242876918
"g1125",110030.284008642,19822.6795788582,2.47267675563325,90207.6044297838,0.906566900053859,90207.604463673
"g680",54139.5569435148,9297.97507360156,2.54169461782406,44841.5818699132,0.905712856813111,44841.581941947
"g922",69057.5142631744,12369.1215050825,2.48105536597933,56688.3927580919,0.904624144033238,56688.3928123855
"g707",35077.8972535051,5926.15024579482,2.56539515939138,29151.7470077103,0.901019466030622,29151.7471205895
"g1023",33713.4307673655,5687.91304998397,2.56735213119244,28025.5177173816,0.900265445872124,28025.5178349761
"g1135",156818.279968847,31235.009765281,2.32785785504772,125583.270203566,0.898888204970378,125583.270225141
"g577",4473.81522990002,27617.2626708308,-2.62599275271406,23143.4474409308,0.898730476263753,-23143.4475899111
"g390",17840.766098341,91198.7355705587,-2.35383625501625,73357.9694722177,0.898268831268754,-73357.9695099814
"g685",17542.0925587483,2358.35611175657,2.89496736723691,15183.7364469917,0.896118335000385,15183.7367229724
"g652",56018.5802996195,10823.4616338742,2.37174343549345,45195.1186657452,0.895729783796261,45195.1187279772
"g1103",39521.3211407799,7329.63630659985,2.43081765560324,32191.6848341801,0.894637223974763,32191.6849259565
"g134",337521.011309128,1593726.14673082,-2.23935452882916,1256205.1354217,0.893710086943141,-1256205.13542369
"g1903",3557.88304181554,22379.8868984085,-2.65311175453617,18822.0038565929,0.893544664153266,-18822.0040435816
"g1003",9910.7216278202,746.412504617049,3.73094504705054,9164.30912320315,0.893348465030392,9164.3098826685
"g1112",50378.3662993098,9882.04045687977,2.34992347095203,40496.32584243,0.893202277448642,40496.3259106108
