"","truedispersions.S1","truedispersions.S2","truemeans.S1","truemeans.S2","n.random.outliers.up.S1","n.random.outliers.up.S2","n.random.outliers.down.S1","n.random.outliers.down.S2","n.single.outliers.up.S1","n.single.outliers.up.S2","n.single.outliers.down.S1","n.single.outliers.down.S2","M.value","A.value","truelog2foldchanges","upregulation","downregulation","differential.expression"
"g1",0.193877458366837,0.193877458366837,26.4210526315789,61.7861876508514,0,0,0,0,0,0,0,0,1.10103413889567,9.56673223813136,1.22559641298227,1,0,1
"g2",0.453792456722564,0.453792456722564,5.41463414634146,13.4784085717554,0,0,0,0,0,0,0,0,2.08340439793045,7.05254151377754,1.31571439724373,1,0,1
"g3",0.275934511494574,0.275934511494574,14.9512195121951,66.8262167936736,0,0,0,0,0,0,0,0,1.97779802355918,9.27825172306674,2.16015103758667,1,0,1
"g4",0.147570127542637,0.147570127542637,108.878048780488,352.137140316435,0,0,0,0,0,0,0,0,0.985037328701011,12.2629660533215,1.69342428052454,1,0,1
"g5",0.106635794886303,0.106635794886303,1393.63414634146,4139.62732784511,0,0,0,0,0,0,0,0,1.0587674605155,15.7310183640763,1.57064901628408,1,0,1
"g6",0.0264737887845919,0.0264737887845919,336.052631578947,1060.39002202079,0,0,0,0,0,0,0,0,1.45388491365447,13.6682511315795,1.6578358935327,1,0,1
"g7",0.182667007148793,0.182667007148793,89.8245614035088,148.084567346071,0,0,0,0,0,0,0,0,1.47232156831517,11.2268447037971,0.721239406846955,1,0,1
"g8",0.410201133152124,0.410201133152124,20.859649122807,46.1708256197622,0,0,0,0,0,0,0,0,1.03384685371092,8.88172182045318,1.14626663998021,1,0,1
"g9",0.0417247494501636,0.0417247494501636,1397.75609756098,3097.65204603466,0,0,0,0,0,0,0,0,1.27301300269045,15.6786689023767,1.14806245917465,1,0,1
"g10",0.0881242340684786,0.0881242340684786,105.929824561404,160.191741524092,0,0,0,0,0,0,0,0,0.404527112911726,11.4405203839365,0.596690935831952,1,0,1
"g11",0.140184884065833,0.140184884065833,206.317073170732,393.815301125517,0,0,0,0,0,0,0,0,1.5279922558592,12.6326961516149,0.932655953957109,1,0,1
"g12",0.107371560081927,0.107371560081927,185.736842105263,708.660697235307,0,0,0,0,0,0,0,0,2.3978646933313,12.8101682631483,1.93183502692636,1,0,1
"g13",0.0800883301128728,0.0800883301128728,1793.29824561404,8694.93284338146,0,0,0,0,0,0,0,0,2.3709819239938,16.3155322875475,2.2775594401744,1,0,1
"g14",0.780710338100103,0.780710338100103,514,1331.38275624329,0,0,0,0,0,0,0,0,1.81475754956024,13.1285184129721,1.37308512351066,1,0,1
