"sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10"
"g1" 7 1 132 3 24 37 74 24 268 9
"g2" 23805 16229 14308 9011 20769 45650 43730 27763 32910 46669
"g3" 81 105 409 55 103 161 84 195 320 210
"g4" 3153 2788 3088 1984 2034 5454 7592 5521 6058 6675
"g5" 3592 6490 3240 736 7484 925 5363 711 7965 5145
"g6" 25 300 716 267 399 477 101 626 278 1627
"g7" 15201 18297 20840 27901 41148 46004 16090 19035 44284 10265
"g8" 900 771 1701 589 1043 2166 1969 1656 3049 1564
"g9" 21 45 21 24 22 19 83 115 215 92
"g10" 12560 6801 16432 5283 7931 9465 13991 9153 19387 10591
"g11" 20867 14738 16379 8686 14194 17976 34930 17795 31502 34830
"g12" 5639 3914 2333 1348 2225 2859 6049 7494 5143 5855
"g13" 1937 2422 2980 2999 898 2438 2309 1105 4903 1590
"g14" 80665 83644 74559 36879 72161 154982 245172 257654 300052 260794
"g15" 145 1 139 111 130 859 707 257 585 312
"g16" 113854 66623 110004 65898 99334 230739 234208 257296 307595 173607
"g17" 5951 6459 7469 5251 4944 11187 14887 8557 14671 11413
"g18" 2912 2992 3572 2025 1932 3277 2959 3511 4040 2617
"g19" 4927 7785 6695 5645 3685 7933 9146 6515 8698 13049
"g20" 21330 11669 28617 15628 14292 61961 45026 61738 84200 47614
"g21" 20 28 19 16 26 26 45 41 47 40
"g22" 123 335 106 0 32 528 35 100 4 674
"g23" 390 491 561 290 631 337 448 819 1811 637
"g24" 31 12 35 7 14 40 49 30 45 19
"g25" 435 592 783 331 525 837 1453 1026 1925 1303
"g26" 747 231 0 0 0 392 455 22 1051 0
"g27" 17374 7076 30515 12688 16283 22517 51089 22892 65744 58173
"g28" 1690 128 5205 277 10 5 67 276 143 332
"g29" 1740 1567 3282 1827 2106 3037 3325 2358 1667 2293
"g30" 5123 4828 6312 3270 3219 17101 7455 8928 9028 12492
"g31" 79285 142936 93831 76768 57126 128416 310460 279045 90626 125516
"g32" 50934 14562 22010 6232 23923 30556 41487 27668 53938 37715
"g33" 988 262 319 56 327 37 4 30 41 592
"g34" 815 819 892 916 546 723 912 1202 772 1085
"g35" 5105 3810 2292 1207 3782 1140 369 6126 3385 2215
"g36" 114 105 178 100 122 233 250 188 299 181
"g37" 42797 27143 37846 16414 21025 33526 39813 27196 54972 43264
"g38" 54 10 333 66 27 101 15 104 51 154
"g39" 580 1166 2187 263 356 1080 969 540 862 713
"g40" 248 295 309 273 298 281 380 291 310 538
"g41" 4583 2681 3932 4039 3147 6315 6856 3351 3546 2290
"g42" 13097 1673 13965 11687 2757 11629 6190 5975 12966 4861
"g43" 32 22 29 19 21 52 86 56 80 74
"g44" 266 413 414 176 515 411 380 928 573 743
"g45" 345 115 144 86 205 206 966 452 334 791
"g46" 110 211 104 10 157 196 118 73 252 45
"g47" 1588 1442 1631 1222 1604 3084 4951 5126 5036 4379
"g48" 463 262 335 142 211 936 833 272 178 975
"g49" 7815 2696 4637 2314 3900 7475 20387 3137 16202 11600
"g50" 262 328 133 180 127 673 317 194 45 355
"g51" 5037 2574 4732 1696 2861 5568 5697 8256 1472 3832
"g52" 204 873 751 300 149 309 164 74 136 2853
"g53" 32 62 43 25 30 68 103 41 133 53
"g54" 16044 8388 5636 6607 5631 8256 14958 8175 9398 18726
"g55" 1607 71 554 301 243 766 1261 2202 1675 1676
"g56" 28217 36872 30547 27896 9515 36241 48977 15611 40824 49078
"g57" 5482 8908 9561 8325 6344 19221 37241 12916 20869 12706
"g58" 222 206 372 200 189 314 638 219 528 619
"g59" 5008 13893 8242 6567 6098 6133 16684 10291 16511 17091
"g60" 860 360 502 288 413 501 1544 1153 994 753
"g61" 3010 1376 1511 1440 1797 3135 4532 2465 3268 5034
"g62" 40825 39072 49727 21830 36320 86475 97521 103528 118840 137846
"g63" 86 271 592 2 134 134 360 385 355 366
"g64" 0 0 0 36 1 0 0 0 0 2
"g65" 1147 464 995 751 926 996 1545 1623 1079 1917
"g66" 101 53 1 77 21 92 261 11 55 127
"g67" 42 77 39 20 33 19 120 48 59 102
"g68" 50535 12297 55453 9485 25321 39249 43616 2713 10710 45285
"g69" 457 261 288 192 295 478 274 1061 1371 3603
"g70" 3019 855 638 327 1993 5495 3744 131 650 1458
"g71" 716 357 1447 624 763 1119 1516 1144 1770 3166
"g72" 66 28 32 120 17 23 613 12 300 180
"g73" 100 292 186 72 93 1064 1193 699 1562 909
"g74" 14 92 38 8 18 33 16 35 24 152
"g75" 21117 21491 18707 15721 16835 25841 23510 22132 26189 30843
"g76" 6988 4665 3623 3968 3408 12206 13122 10445 18144 8976
"g77" 1786 717 1476 758 2666 1532 2843 2010 3450 2969
"g78" 4536 1929 1903 1598 938 3028 5615 2948 571 2620
"g79" 179 221 336 254 135 547 2075 1202 1459 1052
"g80" 206 106 137 56 142 194 97 320 266 151
"g81" 219831 166729 236151 163018 123843 410769 506671 338508 449612 380384
"g82" 163 107 124 105 95 182 121 211 357 105
"g83" 26260 15209 29190 12611 20414 23320 19265 23055 34875 31521
"g84" 5672 4429 7135 3508 3685 12252 23944 20047 31019 12926
"g85" 83 202 46 88 104 206 149 134 172 129
"g86" 17973 15146 21248 8507 12284 20093 18223 13999 14736 17548
"g87" 21117 13344 20316 11843 11535 11281 48745 38674 27660 68360
"g88" 1663 1721 2401 1201 1894 1782 2665 2142 4050 1972
"g89" 113 166 123 133 60 176 479 266 419 137
"g90" 865 1095 838 609 946 762 1250 1022 1220 1406
"g91" 214 31 102 244 289 255 52 380 1091 425
"g92" 360 159 93 25 11 368 199 364 217 250
"g93" 23202 37538 22903 7696 9704 39892 63077 40133 88812 46028
"g94" 2030 2324 1790 1140 1083 2536 5907 3537 5064 6326
"g95" 774 452 1531 1016 705 1283 1625 1299 1503 862
"g96" 13 3 13 4 7 102 83 75 118 2
"g97" 5609 7958 15513 5270 2857 16898 29239 17167 30827 22648
"g98" 157343 262943 327693 280460 60955 279610 474849 450265 368474 443466
"g99" 29 47 15 39 36 36 38 56 89 1
"g100" 447 68 44 54 29 51 634 78 209 253
"g101" 390 703 1056 305 469 801 1305 1420 975 3501
"g102" 48 24 41 52 63 175 60 38 138 37
"g103" 193 114 266 218 149 259 380 360 299 185
"g104" 33 30 45 0 3 90 195 312 682 1349
"g105" 823 606 1198 327 484 2054 1439 691 3306 4184
"g106" 12006 4757 4392 6510 2818 32799 14811 21671 24189 38019
"g107" 0 200 15 16 0 0 0 51 0 2
"g108" 43 17 43 33 15 47 63 50 207 59
"g109" 68 138 32 8 28 76 15 0 19 0
"g110" 21002 1597 3886 15 1712 17743 3098 10708 8708 9729
"g111" 339 348 597 460 267 588 898 285 575 501
"g112" 3983 2755 4335 5732 2731 5765 6079 9294 8690 9833
"g113" 1513 1716 773 336 1140 660 368 1347 981 159
"g114" 36 24 60 102 1 53 142 12 27 7
"g115" 5468 3764 6568 3089 6318 5024 10394 4111 7441 7509
"g116" 1526 946 1749 199 238 1183 430 1434 1225 980
"g117" 1 0 0 0 0 6 0 19 1 24
"g118" 134 97 115 132 40 63 306 172 292 214
"g119" 884 85 666 5 41 24 520 299 955 1257
"g120" 15 24 90 15 27 153 89 128 176 156
"g121" 1876 2151 3623 1636 1523 1068 2141 3252 4963 3341
"g122" 52 13 44 54 16 57 17 26 128 37
"g123" 173 159 245 100 241 562 670 469 414 444
"g124" 24 20 18 12 61 39 95 24 41 31
"g125" 171 208 291 311 389 645 650 339 831 556
"g126" 582 1923 2321 871 1418 1625 1824 703 1288 3285
"g127" 90 68 130 131 48 102 248 163 61 125
"g128" 30114 31609 41748 21823 28220 58165 64445 55236 66366 44558
"g129" 165 299 233 328 482 512 334 700 754 316
"g130" 409 89 259 171 345 165 922 975 1498 1120
"g131" 5323 3743 7338 4364 5999 4162 12987 5038 5547 6210
"g132" 706 2332 3495 1230 1625 1927 3686 3185 4729 4117
"g133" 10694 4924 8388 4462 6346 7007 16446 8905 12584 7685
"g134" 3682 5315 2804 2460 5619 3872 5295 4843 9073 6510
"g135" 4793 3008 1363 2040 3727 10773 3785 989 6383 6715
"g136" 5930 5259 3467 1592 1979 4011 6379 1704 2071 5929
"g137" 1940 1137 2113 1598 1164 1344 1586 2349 3022 1716
"g138" 2 0 5 0 25 21 5 14 22 13
"g139" 6113 1976 4835 4198 1860 14482 19804 12285 18749 14640
"g140" 15 18 31 12 24 29 82 37 24 14
"g141" 39666 38793 41298 31346 33463 50324 75748 45658 77397 54564
"g142" 46 148 90 50 53 451 461 240 253 213
"g143" 1567 1364 1918 415 1548 2370 2828 1956 3955 4591
"g144" 3540 2622 2601 1223 2383 2235 3596 2700 2682 2618
"g145" 24461 15199 11967 23296 22223 33494 23474 24587 51266 20858
"g146" 58927 42663 51978 94440 48575 94328 81385 53936 85482 85947
"g147" 273 185 234 17 100 114 39 56 1075 10
"g148" 1775 2489 1247 571 1743 2135 2559 2520 1520 202
"g149" 643 608 1261 675 314 885 624 1159 2241 664
"g150" 5809 4799 3075 2369 2453 3898 8713 6658 5030 5243
"g151" 134 6 119 14 33 0 58 129 2 12
"g152" 817 243 117 133 267 536 867 376 513 805
"g153" 263 136 237 167 110 250 366 275 384 774
"g154" 1917 1082 1330 1665 1631 1691 2548 1963 3843 2049
"g155" 58 53 233 23 126 124 81 81 37 70
"g156" 218 312 646 1221 9 1418 826 104 556 352
"g157" 54 43 54 26 53 125 151 100 140 133
"g158" 10376 13668 19401 18184 24154 17572 29580 27853 23359 24486
"g159" 585 167 190 137 283 1225 1740 98 353 123
"g160" 256 278 662 214 192 260 355 374 636 529
"g161" 29623 25603 24567 16086 19710 54618 106032 55200 64896 69821
"g162" 120 14 94 58 68 161 56 34 226 75
"g163" 4171 2037 1719 728 4043 5055 3138 3097 10081 8836
"g164" 1499 25 45 111 299 2381 5801 88 3113 148
"g165" 0 2 0 0 0 2 0 147 0 166
"g166" 501 217 449 601 455 635 571 861 259 2661
"g167" 206 171 325 153 150 178 630 229 498 319
"g168" 2084 8513 7198 3409 2710 6183 8200 8869 10696 4437
"g169" 4586 4216 8897 4068 4825 5697 13724 7213 9747 5166
"g170" 11436 11775 11922 7162 6850 7715 16782 10553 27655 10042
"g171" 5 5 79 1 2 3 48 6 13 21
"g172" 40 446 3309 1725 278 5329 3519 2255 544 144
"g173" 182 116 103 76 70 154 108 32 170 57
"g174" 31 38 32 59 43 99 171 5 214 119
"g175" 1 1 11 72 1 22 31 24 7 14
"g176" 1295 1657 1510 1526 2507 3139 6885 4307 3343 6107
"g177" 17013 18852 13562 18937 14765 24766 30197 17193 32389 25515
"g178" 416 489 755 274 506 1406 2090 783 1352 1476
"g179" 32414 25580 33092 15210 17001 59949 110365 54292 120492 91436
"g180" 1311 1617 2495 1362 1336 5038 10036 4897 6638 6096
"g181" 3786 3469 4150 3312 3447 3556 4396 5030 5753 5011
"g182" 7757 4173 2106 2295 2315 6868 15534 13935 6600 14561
"g183" 19014 10654 19597 4955 18929 28514 16983 15202 13979 12689
"g184" 9854 8732 7105 4738 6256 10582 14697 13134 14824 13808
"g185" 1732 68 1753 1064 1744 1074 2592 1787 329 5231
"g186" 86754 41175 53907 8830 28889 68544 61591 107635 63534 48531
"g187" 254 170 582 479 499 1493 952 532 1377 731
"g188" 33 0 0 2 7 0 14 0 0 0
"g189" 12698 6838 11052 1573 6751 4743 7324 5936 557 4622
"g190" 2017 3437 5814 2899 1817 1143 6007 3155 5823 4375
"g191" 6665 2869 3151 1689 4228 5347 7791 7252 6905 8390
"g192" 1743 1302 1568 1117 1252 1679 2666 1308 2143 2688
"g193" 311 990 900 525 254 1115 1987 2518 2284 317
"g194" 201 160 4 296 5 270 45 42 229 101
"g195" 2 37 26 5 8 1 1360 5 54 2
"g196" 2505 2542 3334 2656 785 3789 2809 2955 4116 2363
"g197" 9301 2447 5097 2054 4456 13511 9033 12302 5084 10190
"g198" 1306 1538 1724 487 515 2333 3649 4876 11129 1908
"g199" 510 461 1684 359 503 230 514 1462 754 944
"g200" 11086 9324 22457 13576 7372 23942 45889 20130 45902 22793
"g201" 4 20 3 9 49 5 175 119 5 10
"g202" 2320 566 4121 6325 1397 3684 9277 2489 542 11172
"g203" 16405 8262 12434 4378 8405 34475 52331 37122 30836 48150
"g204" 2654 1142 1389 664 986 1994 2826 2206 3483 1957
"g205" 18423 16334 18089 9990 12004 60692 96549 23443 110563 64351
"g206" 1863 1673 2355 845 1275 2161 3337 2134 3077 2739
"g207" 19 3 109 1 42 183 238 143 210 5
"g208" 3096 1419 2027 1360 1700 1795 7270 2564 2876 3183
"g209" 47 8 60 21 29 49 43 4 20 31
"g210" 1420 2608 3219 1659 3071 3950 3309 3828 5147 6870
"g211" 644 199 957 383 354 326 227 413 765 447
"g212" 468 179 268 284 116 39 455 1106 449 171
"g213" 184581 193312 118400 75966 217290 225240 269025 213957 301890 128498
"g214" 96 45 267 227 49 134 232 122 59 212
"g215" 22568 25957 35564 31670 20022 30658 40681 26256 66245 39468
"g216" 13128 11676 15120 8334 10609 19882 22755 17346 19687 18937
"g217" 39 82 71 32 47 72 95 54 110 81
"g218" 156395 82869 100317 70879 73401 196818 218000 108973 203347 145325
"g219" 53885 38526 54248 53332 70343 104651 188903 145980 229593 163042
