"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Benjamini et al. 1995) < 0.05)"
g4	63738	74876	-0.232349615536267	-0.232349615536267	0	0	0	TRUE
g7	258	32	3.01122725542325	3.01122725542325	0	0	0	TRUE
g8	173	8	4.43462822763672	4.43462822763672	0	0	0	TRUE
g10	1234	601	1.03790549843823	1.03790549843823	0	0	0	TRUE
g12	1945	946	1.03985806653416	1.03985806653416	0	0	0	TRUE
g16	7526	4142	0.86155573584737	0.86155573584737	0	0	0	TRUE
g18	4670	2594	0.848244070345325	0.848244070345325	0	0	0	TRUE
g19	64	744	-3.53915881110803	-3.53915881110803	0	0	0	TRUE
g21	1534	656	1.22553076288485	1.22553076288485	0	0	0	TRUE
g23	19509	14452	0.43287066972897	0.43287066972897	0	0	0	TRUE
g24	717	296	1.27637594307295	1.27637594307295	0	0	0	TRUE
g25	73	5	3.86789646399266	3.86789646399266	0	0	0	TRUE
g27	2439	1226	0.992330779105403	0.992330779105403	0	0	0	TRUE
g28	174	34	2.35548065459839	2.35548065459839	0	0	0	TRUE
g29	17823	23492	-0.39842934857711	-0.39842934857711	0	0	0	TRUE
g32	359	123	1.54532552848381	1.54532552848381	0	0	0	TRUE
g34	221	3050	-3.78669096794618	-3.78669096794618	0	0	0	TRUE
g38	41	316	-2.94622874355902	-2.94622874355902	0	0	0	TRUE
g39	398	118	1.75398157118181	1.75398157118181	0	0	0	TRUE
g40	14929	18355	-0.298055582813523	-0.298055582813523	0	0	0	TRUE
g41	6175	5152	0.261306543244785	0.261306543244785	0	0	0	TRUE
g43	391	146	1.42120023842734	1.42120023842734	0	0	0	TRUE
g44	9878	4491	1.13718224659887	1.13718224659887	0	0	0	TRUE
g45	1225	608	1.01063852044635	1.01063852044635	0	0	0	TRUE
g46	46255	30051	0.622196324274375	0.622196324274375	0	0	0	TRUE
g47	21041	7746	1.44167986567781	1.44167986567781	0	0	0	TRUE
g48	91739	73321	0.323308718988148	0.323308718988148	0	0	0	TRUE
g52	3028	3782	-0.320784157964029	-0.320784157964029	0	0	0	TRUE
g53	3663	1992	0.878808053640478	0.878808053640478	0	0	0	TRUE
g54	1934	1331	0.53907722356495	0.53907722356495	0	0	0	TRUE
g56	23248	11540	1.0104633841	1.0104633841	0	0	0	TRUE
g57	550	79	2.79950706023492	2.79950706023492	0	0	0	TRUE
g58	1440	579	1.31443355834044	1.31443355834044	0	0	0	TRUE
g59	9172	7626	0.266309823854678	0.266309823854678	0	0	0	TRUE
g60	100	3	5.05889368905357	5.05889368905357	0	0	0	TRUE
g65	13257	9781	0.438700459349354	0.438700459349354	0	0	0	TRUE
g66	31226	26784	0.221376341296383	0.221376341296383	0	0	0	TRUE
g67	548	276	0.989507626182359	0.989507626182359	0	0	0	TRUE
g68	572	164	1.80231933216031	1.80231933216031	0	0	0	TRUE
g69	6419	3705	0.792875018459462	0.792875018459462	0	0	0	TRUE
g70	24591	61976	-1.33357924105508	-1.33357924105508	0	0	0	TRUE
g71	2462	849	1.53599430293142	1.53599430293142	0	0	0	TRUE
g72	954	209	2.19048632392463	2.19048632392463	0	0	0	TRUE
g73	29321	10704	1.45378428669209	1.45378428669209	0	0	0	TRUE
g74	373	136	1.4555689790049	1.4555689790049	0	0	0	TRUE
g76	7342	1795	2.03218927038913	2.03218927038913	0	0	0	TRUE
g77	0	361	NA	NA	0	0	0	TRUE
g81	19020	10876	0.806369189723165	0.806369189723165	0	0	0	TRUE
g82	29361	21367	0.45851674256858	0.45851674256858	0	0	0	TRUE
g83	99775	39879	1.32304914035774	1.32304914035774	0	0	0	TRUE
g85	112	4	4.8073549220576	4.8073549220576	0	0	0	TRUE
g86	7306	4948	0.562236253385647	0.562236253385647	0	0	0	TRUE
g87	1247	1901	-0.608297066818881	-0.608297066818881	0	0	0	TRUE
g88	603	1021	-0.759752958977717	-0.759752958977717	0	0	0	TRUE
g89	53868	38721	0.476312290269904	0.476312290269904	0	0	0	TRUE
g93	125682	40486	1.63428302629348	1.63428302629348	0	0	0	TRUE
g95	5193	1973	1.39617726936424	1.39617726936424	0	0	0	TRUE
g96	447	145	1.62422193116838	1.62422193116838	0	0	0	TRUE
g97	3987	2547	0.646504645723136	0.646504645723136	0	0	0	TRUE
g100	4750	3047	0.640538013419187	0.640538013419187	0	0	0	TRUE
g101	10647	4340	1.29468003245026	1.29468003245026	0	0	0	TRUE
g102	1353	875	0.628806917256846	0.628806917256846	0	0	0	TRUE
g105	30618	18781	0.705106165787573	0.705106165787573	0	0	0	TRUE
g106	5899	2579	1.19365863603939	1.19365863603939	0	0	0	TRUE
g109	2070	805	1.36257007938471	1.36257007938471	0	0	0	TRUE
g110	9745	28052	-1.52536954252777	-1.52536954252777	0	0	0	TRUE
g111	11261	3254	1.79104879127569	1.79104879127569	0	0	0	TRUE
g113	19240	11411	0.753683571738684	0.753683571738684	0	0	0	TRUE
g114	2364	1811	0.384443489227364	0.384443489227364	0	0	0	TRUE
g118	20989	12366	0.763254521788175	0.763254521788175	0	0	0	TRUE
g122	1878	718	1.38714131383072	1.38714131383072	0	0	0	TRUE
g123	61141	24261	1.33350113132528	1.33350113132528	0	0	0	TRUE
g126	5766	4607	0.323743238890694	0.323743238890694	0	0	0	TRUE
g128	135	5060	-5.22810607253084	-5.22810607253084	0	0	0	TRUE
g129	296	15	4.30256277002043	4.30256277002043	0	0	0	TRUE
g130	164783	131860	0.321560426675152	0.321560426675152	0	0	0	TRUE
g132	5064	4193	0.272294574581952	0.272294574581952	0	0	0	TRUE
g133	714	222	1.68536439767899	1.68536439767899	0	0	0	TRUE
g134	4686	2945	0.670089320145312	0.670089320145312	0	0	0	TRUE
g138	251	84	1.57922613117201	1.57922613117201	0	0	0	TRUE
g139	9057	2820	1.68333809494863	1.68333809494863	0	0	0	TRUE
g140	1068	47	4.50610708000992	4.50610708000992	0	0	0	TRUE
g141	18048	9089	0.989645494373747	0.989645494373747	0	0	0	TRUE
g144	121	364	-1.5889314029241	-1.5889314029241	0	0	0	TRUE
g145	1638	3328	-1.02272007650008	-1.02272007650008	0	0	0	TRUE
g147	931	546	0.769880216638942	0.769880216638942	0	0	0	TRUE
g153	6003	5070	0.243697920736194	0.243697920736194	0	0	0	TRUE
g154	16860	7079	1.25198705573701	1.25198705573701	0	0	0	TRUE
g155	4680	2589	0.854113564570655	0.854113564570655	0	0	0	TRUE
g156	83	7	3.56768450928932	3.56768450928932	0	0	0	TRUE
g159	2878	4899	-0.767420699542553	-0.767420699542553	0	0	0	TRUE
g161	3413	1328	1.36178526775194	1.36178526775194	0	0	0	TRUE
g165	10784	8273	0.38240991436736	0.38240991436736	0	0	0	TRUE
g166	33447	41551	-0.313006383105707	-0.313006383105707	0	0	0	TRUE
g167	8771	2813	1.64063178406476	1.64063178406476	0	0	0	TRUE
g169	29	169	-2.54289844115461	-2.54289844115461	0	0	0	TRUE
g171	22647	13563	0.739643628689162	0.739643628689162	0	0	0	TRUE
g172	14843	11553	0.361515183455436	0.361515183455436	0	0	0	TRUE
g173	380	6	5.98489310760979	5.98489310760979	0	0	0	TRUE
g174	426	31	3.78051330983896	3.78051330983896	0	0	0	TRUE
g176	106795	56745	0.912278921320635	0.912278921320635	0	0	0	TRUE
g179	7	213	-4.92735469816823	-4.92735469816823	0	0	0	TRUE
g180	31245	15371	1.0234143137756	1.0234143137756	0	0	0	TRUE
g181	53	1117	-4.39749301592012	-4.39749301592012	0	0	0	TRUE
g184	3792	2330	0.702629009356615	0.702629009356615	0	0	0	TRUE
g185	8010	4535	0.820699691880188	0.820699691880188	0	0	0	TRUE
g186	1710	4520	-1.40232644752929	-1.40232644752929	0	0	0	TRUE
g187	5492	6450	-0.231967535050879	-0.231967535050879	0	0	0	TRUE
g188	82152	53535	0.617813296073452	0.617813296073452	0	0	0	TRUE
g189	94	11	3.09515723304034	3.09515723304034	0	0	0	TRUE
g190	15974	10598	0.59193358630295	0.59193358630295	0	0	0	TRUE
g191	7506	4393	0.772837790794215	0.772837790794215	0	0	0	TRUE
g192	38106	13560	1.4906609974262	1.4906609974262	0	0	0	TRUE
g193	1530	220	2.79795622405535	2.79795622405535	0	0	0	TRUE
g194	1185	2143	-0.854744790890926	-0.854744790890926	0	0	0	TRUE
g197	5038	3866	0.382009484523007	0.382009484523007	0	0	0	TRUE
g198	21966	15228	0.52854570446344	0.52854570446344	0	0	0	TRUE
g201	9775	7249	0.431314713436727	0.431314713436727	0	0	0	TRUE
g203	483	232	1.0578983837082	1.0578983837082	0	0	0	TRUE
g204	18944	10833	0.806308159959153	0.806308159959153	0	0	0	TRUE
g206	2099	281	2.90106013107123	2.90106013107123	0	0	0	TRUE
g210	4422	3183	0.474311868180305	0.474311868180305	0	0	0	TRUE
g215	26245	18188	0.5290556883536	0.5290556883536	0	0	0	TRUE
g216	2390	817	1.54860263472243	1.54860263472243	0	0	0	TRUE
g217	1248	2184	-0.807354922057604	-0.807354922057604	0	0	0	TRUE
