"","GeneNames","value1","value2","log2.Fold_change.","log2.Fold_change..normalized","p.value","q.value.Benjamini.et.al..1995.","q.value.Storey.et.al..2003.","Signature.q.value.Benjamini.et.al..1995....0.05."
"1","g1",6217,10626,-0.773308133935625,-0.773308133935625,0,0,0,TRUE
"2","g2",2394,3386,-0.500158820952141,-0.500158820952141,0,0,0,TRUE
"3","g3",19260,21598,-0.16529002014844,-0.16529002014844,0,0,0,TRUE
"4","g4",12335,15844,-0.361178890717133,-0.361178890717133,0,0,0,TRUE
"5","g8",1702,168,3.3406978989072,3.3406978989072,0,0,0,TRUE
"6","g9",4852,2385,1.02459028422764,1.02459028422764,0,0,0,TRUE
"7","g10",2054,5355,-1.38245039331942,-1.38245039331942,0,0,0,TRUE
"8","g11",26748,30084,-0.169565379574186,-0.169565379574186,0,0,0,TRUE
"9","g14",36170,48841,-0.433299141239727,-0.433299141239727,0,0,0,TRUE
"10","g16",280,559,-0.997421455898223,-0.997421455898223,0,0,0,TRUE
"11","g17",5811,4291,0.437472553576026,0.437472553576026,0,0,0,TRUE
"12","g19",4887,2439,1.00265934645049,1.00265934645049,0,0,0,TRUE
"13","g21",8848,16407,-0.890888177246739,-0.890888177246739,0,0,0,TRUE
"14","g25",195,1198,-2.61908187903918,-2.61908187903918,0,0,0,TRUE
"15","g27",1676,1209,0.471207904450228,0.471207904450228,0,0,0,TRUE
"16","g28",3871,1826,1.08401954230809,1.08401954230809,0,0,0,TRUE
"17","g29",99,794,-3.00363857706335,-3.00363857706335,0,0,0,TRUE
"18","g30",34,201,-2.56358884992859,-2.56358884992859,0,0,0,TRUE
"19","g32",6363,8472,-0.412995467740625,-0.412995467740625,0,0,0,TRUE
"20","g36",21,182,-3.11547721741994,-3.11547721741994,0,0,0,TRUE
"21","g37",2136,1512,0.498453507466483,0.498453507466483,0,0,0,TRUE
"22","g38",505,56,3.17278465558155,3.17278465558155,0,0,0,TRUE
"23","g40",16355,26786,-0.711747397682617,-0.711747397682617,0,0,0,TRUE
"24","g41",46379,20973,1.14493847286258,1.14493847286258,0,0,0,TRUE
"25","g43",314,1451,-2.20821105517512,-2.20821105517512,0,0,0,TRUE
"26","g45",50818,135298,-1.41272901056546,-1.41272901056546,0,0,0,TRUE
