"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1",3193.72410089949,1.18605709277794,0.335390233178865,3.53634952794053,0.00040569754129468,0.00926067467270352
"g3",5595.98381342015,1.49512291102311,0.449983029866185,3.32262065853401,0.000891760949872447,0.0180833977523663
"g4",1749.97380959667,1.87338213376956,0.205843775415556,9.10098996186596,8.95121567006817e-20,2.96009816658639e-17
"g5",39268.7138149123,1.20059301500134,0.206135751527574,5.82428329925456,5.73582081116153e-09,3.99864221630001e-07
"g6",62553.9548364318,0.838443493282178,0.189214783218723,4.43117328899709,9.37217315974555e-06,0.00034048709082039
"g7",14933.6507650339,1.83662426177535,0.287407408968024,6.39031634003454,1.65542925871316e-10,1.54710660504519e-08
"g9",623.039660412039,2.06527136459896,0.323339669736402,6.38731203716093,1.6882692406814e-10,1.56644664727108e-08
"g11",1176.80989178474,1.86836612258464,0.407852840873238,4.58098101899782,4.62799850611655e-06,0.000180324159315363
"g15",132.925671297372,1.67669445429965,0.459633817013832,3.64789184832585,0.000264400884311658,0.00647054687849612
"g16",35330.8584387488,0.875350064057414,0.218423629858142,4.00757951246356,6.13442121261359e-05,0.00178590587763154
"g17",25996.7590893743,1.18129023640801,0.268329964387493,4.40237913460205,1.07070239697293e-05,0.000383579133715552
"g19",11077.9272240168,2.63989936594375,0.33156423853919,7.96195445436051,1.69342814523874e-15,3.70171911680408e-13
"g20",140.346891183092,1.33617712890093,0.423970917794398,3.15157732009556,0.00162391161179786,0.0300913621513751
"g24",1252.37467579339,1.63720565834781,0.239981584273349,6.82221372654562,8.96481553222009e-12,1.09074741433059e-09
"g25",404.446553757585,1.88905021606422,0.458989940902936,4.11566800864532,3.86059661682526e-05,0.00117986053476766
"g26",4227.86144369987,1.43145024131633,0.242610550714438,5.9001978153918,3.63066009328003e-09,2.75438960135486e-07
"g29",164.233154640316,4.24794351897912,1.23498458727248,3.43967330666118,0.000582416758522297,0.0126668278830726
"g31",1890.22955501006,0.727721877137374,0.152472446446716,4.77280908188016,1.81673993358709e-06,7.83628592758282e-05
