"","x"
"1","g1"
"2","g2"
"3","g5"
"4","g7"
"5","g10"
"6","g12"
"7","g15"
"8","g19"
"9","g20"
"10","g21"
"11","g22"
"12","g23"
"13","g24"
"14","g26"
"15","g27"
"16","g28"
"17","g32"
"18","g33"
"19","g35"
"20","g36"
"21","g37"
"22","g38"
"23","g39"
"24","g40"
"25","g41"
"26","g42"
"27","g43"
"28","g45"
"29","g46"
"30","g47"
"31","g49"
"32","g51"
"33","g55"
"34","g56"
"35","g57"
"36","g59"
"37","g61"
"38","g63"
"39","g64"
"40","g67"
"41","g68"
"42","g70"
"43","g72"
"44","g74"
"45","g77"
"46","g83"
"47","g84"
"48","g87"
"49","g88"
"50","g92"
"51","g93"
"52","g94"
"53","g99"
"54","g100"
"55","g103"
"56","g104"
"57","g105"
"58","g107"
"59","g108"
"60","g109"
"61","g114"
"62","g117"
"63","g118"
"64","g119"
"65","g121"
"66","g123"
"67","g128"
"68","g133"
"69","g134"
"70","g136"
"71","g137"
"72","g138"
"73","g139"
"74","g140"
"75","g144"
"76","g145"
"77","g149"
"78","g150"
"79","g153"
"80","g154"
"81","g156"
"82","g159"
"83","g160"
"84","g164"
"85","g165"
"86","g168"
"87","g169"
"88","g171"
"89","g176"
"90","g179"
"91","g180"
"92","g182"
"93","g184"
"94","g186"
"95","g188"
"96","g189"
"97","g190"
"98","g191"
"99","g195"
"100","g196"
"101","g200"
"102","g201"
"103","g202"
"104","g204"
"105","g207"
"106","g208"
"107","g209"
"108","g210"
"109","g212"
"110","g215"
"111","g216"
"112","g217"
"113","g221"
"114","g222"
"115","g225"
"116","g226"
"117","g227"
"118","g228"
"119","g229"
"120","g231"
"121","g234"
"122","g237"
"123","g243"
"124","g246"
"125","g247"
"126","g249"
"127","g253"
"128","g254"
"129","g255"
"130","g256"
"131","g257"
"132","g258"
"133","g260"
"134","g261"
"135","g263"
"136","g265"
"137","g267"
"138","g270"
"139","g271"
"140","g272"
"141","g274"
"142","g275"
"143","g276"
"144","g277"
"145","g281"
"146","g285"
"147","g287"
"148","g288"
"149","g289"
"150","g290"
"151","g291"
"152","g292"
"153","g294"
"154","g299"
"155","g301"
"156","g304"
"157","g305"
"158","g314"
"159","g316"
"160","g317"
"161","g322"
"162","g324"
"163","g325"
"164","g330"
"165","g332"
"166","g334"
"167","g335"
"168","g336"
"169","g337"
"170","g338"
"171","g339"
"172","g340"
"173","g345"
"174","g350"
"175","g351"
"176","g352"
"177","g353"
"178","g354"
"179","g355"
"180","g358"
"181","g359"
"182","g360"
"183","g363"
"184","g365"
"185","g370"
"186","g371"
"187","g372"
"188","g373"
"189","g377"
"190","g380"
"191","g381"
"192","g382"
"193","g383"
"194","g388"
"195","g389"
"196","g394"
"197","g395"
"198","g396"
"199","g397"
"200","g398"
"201","g401"
"202","g406"
"203","g407"
"204","g411"
"205","g412"
"206","g414"
"207","g416"
"208","g418"
"209","g419"
"210","g420"
"211","g423"
"212","g425"
"213","g427"
"214","g429"
"215","g431"
"216","g433"
"217","g434"
"218","g435"
"219","g440"
"220","g441"
"221","g445"
"222","g451"
"223","g453"
"224","g456"
"225","g459"
"226","g462"
"227","g463"
"228","g464"
"229","g466"
"230","g467"
"231","g468"
"232","g471"
"233","g472"
"234","g473"
"235","g476"
"236","g482"
"237","g483"
"238","g484"
"239","g486"
"240","g489"
"241","g490"
"242","g491"
"243","g492"
"244","g493"
"245","g494"
"246","g498"
"247","g499"
"248","g503"
"249","g504"
"250","g508"
"251","g509"
"252","g510"
"253","g511"
"254","g515"
"255","g517"
"256","g518"
"257","g519"
"258","g521"
"259","g523"
"260","g526"
"261","g527"
"262","g528"
"263","g529"
"264","g531"
"265","g533"
"266","g534"
"267","g536"
"268","g537"
"269","g540"
"270","g541"
"271","g545"
"272","g547"
"273","g548"
"274","g550"
"275","g552"
"276","g553"
"277","g556"
"278","g557"
