"","x"
"1","g11994"
"2","g4659"
"3","g898"
"4","g601"
"5","g4994"
"6","g6859"
"7","g316"
"8","g88"
"9","g1258"
"10","g587"
"11","g169"
"12","g1294"
"13","g397"
"14","g1173"
"15","g11837"
"16","g2"
"17","g64"
"18","g87"
"19","g123"
"20","g574"
"21","g617"
"22","g1"
"23","g179"
"24","g193"
"25","g77"
"26","g254"
"27","g933"
"28","g650"
"29","g649"
"30","g19"
"31","g841"
"32","g47"
"33","g948"
"34","g10921"
"35","g93"
"36","g6519"
"37","g982"
"38","g12621"
"39","g1126"
"40","g778"
"41","g272"
"42","g360"
"43","g12502"
"44","g994"
"45","g12286"
"46","g134"
"47","g846"
"48","g939"
"49","g509"
"50","g1080"
"51","g8878"
"52","g11412"
"53","g562"
"54","g11832"
"55","g1040"
"56","g3523"
"57","g1133"
"58","g708"
"59","g435"
"60","g128"
"61","g371"
"62","g504"
"63","g4165"
"64","g462"
"65","g867"
"66","g4899"
"67","g28"
"68","g84"
"69","g277"
"70","g7268"
"71","g104"
"72","g726"
"73","g416"
"74","g159"
"75","g20"
"76","g689"
"77","g370"
"78","g291"
"79","g5"
"80","g483"
"81","g305"
"82","g525"
"83","g39"
"84","g925"
"85","g699"
"86","g406"
"87","g913"
"88","g46"
"89","g1008"
"90","g35"
"91","g154"
"92","g190"
"93","g920"
"94","g1149"
"95","g431"
"96","g964"
"97","g1222"
"98","g395"
"99","g1201"
"100","g709"
"101","g787"
"102","g38"
"103","g1289"
"104","g550"
"105","g848"
"106","g1286"
"107","g401"
"108","g1136"
"109","g314"
"110","g3075"
"111","g40"
"112","g293"
"113","g1259"
"114","g494"
"115","g419"
"116","g9510"
"117","g979"
"118","g1546"
"119","g1122"
"120","g153"
"121","g381"
"122","g4391"
"123","g540"
"124","g1212"
"125","g1065"
"126","g33"
"127","g287"
"128","g389"
"129","g11416"
"130","g10001"
"131","g5654"
"132","g9781"
"133","g957"
"134","g1178"
"135","g463"
"136","g1200"
"137","g8933"
"138","g1235"
"139","g456"
"140","g707"
"141","g5385"
"142","g716"
"143","g317"
"144","g4199"
"145","g1063"
"146","g45"
"147","g838"
"148","g802"
"149","g1240"
"150","g473"
"151","g988"
"152","g744"
"153","g3662"
"154","g1499"
"155","g5940"
"156","g1057"
"157","g969"
"158","g968"
"159","g1782"
"160","g754"
"161","g1779"
"162","g491"
"163","g1249"
"164","g565"
"165","g9541"
"166","g6638"
"167","g466"
"168","g63"
"169","g10200"
"170","g1265"
"171","g777"
"172","g196"
"173","g22"
"174","g11458"
"175","g566"
"176","g243"
"177","g1078"
"178","g140"
"179","g1195"
"180","g447"
"181","g851"
"182","g917"
"183","g7795"
"184","g759"
"185","g808"
"186","g258"
"187","g889"
"188","g379"
"189","g511"
"190","g270"
"191","g1093"
"192","g9538"
"193","g972"
"194","g604"
"195","g265"
"196","g12979"
"197","g414"
"198","g373"
"199","g1292"
"200","g43"
"201","g1060"
"202","g714"
"203","g1244"
"204","g711"
"205","g339"
"206","g227"
"207","g387"
"208","g72"
"209","g6331"
"210","g222"
"211","g267"
"212","g9899"
"213","g909"
"214","g256"
"215","g879"
"216","g352"
"217","g10951"
"218","g637"
"219","g12702"
"220","g1279"
"221","g725"
"222","g1131"
"223","g607"
"224","g332"
"225","g8188"
"226","g12463"
"227","g732"
"228","g536"
"229","g11795"
"230","g292"
"231","g1088"
"232","g1183"
"233","g801"
"234","g3412"
"235","g4772"
"236","g11090"
"237","g1207"
"238","g1852"
"239","g1039"
"240","g12961"
"241","g1791"
"242","g9997"
"243","g924"
"244","g9556"
"245","g635"
"246","g8421"
"247","g6992"
"248","g1098"
"249","g603"
"250","g1087"
"251","g464"
"252","g27"
"253","g68"
"254","g8982"
"255","g418"
"256","g388"
"257","g1162"
"258","g350"
"259","g840"
"260","g1856"
"261","g407"
"262","g476"
"263","g615"
"264","g809"
