"","X1_mean","X2_mean","M","D","prob","ranking"
"g10910",295687.43084465,5642.64719950717,5.71155695865966,290044.783645143,0.982374211417141,290044.783701379
"g12040",0.479193699792968,27255.2278360512,-15.7955645143818,27254.7486423514,0.981627942760425,-27254.7532195324
"g12167",18558.2136055821,33.39462000818,9.1182264313534,18524.8189855739,0.967237267271888,18524.8212296457
"g638",1725.09731925468,27395.0678073354,-3.98916651738288,25669.9704880808,0.941575627019541,-25669.9707980431
"g5956",0.958387399585936,10888.7332864172,-13.4718676655352,10887.7748990176,0.941394829973842,-10887.7832336475
"g645",6876.42959202909,69542.2090032844,-3.33815731248971,62665.7794112553,0.940010001538698,-62665.7795001659
"g479",24446.545788638,220290.741629585,-3.17170632585371,195844.195840947,0.939090629327589,-195844.19586663
"g375",185591.719929816,1625547.83097443,-3.13072175528438,1439956.11104461,0.93882520387752,-1439956.11104802
"g145",197348.258160537,1682137.10174204,-3.09147960566832,1484788.8435815,0.937328819818434,-1484788.84358472
"g12496",142.799722538304,12346.6171661493,-6.43397882736189,12203.817443611,0.936859516848746,-12203.819139641
"g607",10689.8530549815,95127.7058389266,-3.15362356402039,84437.8527839451,0.93609016771811,-84437.8528428366
"g612",43355.5291824686,353690.769161637,-3.02820066827498,310335.239979168,0.934932297276504,-310335.239993943
"g866",231553.104451759,28540.9207063661,3.02023931868464,203012.183745393,0.934059086013233,203012.183767859
"g1294",15623.6313880499,830.691172703479,4.23327378289203,14792.9402153464,0.924742268041237,14792.9408210613
"g270",49793.9757328869,343590.983772913,-2.78664906382032,293797.008040026,0.924438375134636,-293797.008053242
"g656",91603.6260398233,13373.5017314009,2.77602743547855,78230.1243084225,0.920837821203262,78230.1243576767
"g597",236919.115502041,1495157.49357062,-2.65783094951815,1258238.37806857,0.918629789198338,-1258238.37807138
"g1185",37064.6742915865,4755.60260553989,2.9623447649716,32309.0716860466,0.918448992152639,32309.0718218519
"g185",40170.8078536445,252299.484907426,-2.6509178808662,212128.677053781,0.917521926450223,-212128.677070345
"g172",30021.4852920294,188154.681362964,-2.64785192450905,158133.196070934,0.917114171410986,-158133.196093103
"g243",18279.3228723026,115885.592919636,-2.66441668514711,97606.2700473337,0.91611401754116,-97606.2700836998
"g251",230372.371175469,1386219.02519456,-2.58911561581056,1155846.65401909,0.915063855977843,-1155846.65402199
"g839",77029.42885432,12023.1067848201,2.67959998998241,65006.3220694999,0.914809970764733,65006.3221247273
"g514",12358.4055176606,78702.7707042783,-2.67092180758067,66344.3651866177,0.914429142945068,-66344.3652403813
"g873",142305.194640118,23253.0913444459,2.61349389543731,119052.103295672,0.914182951223265,119052.103324359
"g374",44244.9126892843,258232.247868254,-2.54508568690634,213987.33517897,0.912290352361902,-213987.335194105
"g526",30509.3044784187,176345.508862571,-2.53108363768058,145836.204384152,0.910609324511463,-145836.204406117
"g5884",193623.006338347,35020.5205698283,2.46697794993049,158602.485768518,0.907301123249731,158602.485787705
"g1251",23564.829381019,3016.99520136402,2.9654509287479,20547.834179655,0.906866440990922,20547.834393641
"g1109",633428.900783132,117182.765190579,2.43442229408128,516246.135592553,0.905739344514541,516246.135598293
"g666",127362.976693174,23333.4471488405,2.44847459604746,104029.529544333,0.90509693799046,104029.529573147
"g500",28229.3008548037,152015.441022861,-2.42895256975687,123786.140168058,0.904331435605478,-123786.140191888
"g303",496167.699027034,2619539.73909978,-2.40041362560468,2123372.04007275,0.90401984920757,-2123372.04007411
"g454",16002.1944108864,86254.129153628,-2.43032376490915,70251.9347427417,0.901692568087398,-70251.9347847795
"g377",14463.0242471514,78475.2698554726,-2.43986883062109,64012.2456083212,0.901657947376519,-64012.2456548198
"g563",5613.27499937483,34747.1021185113,-2.62997801813327,29133.8271191365,0.901242498845976,-29133.8272378436
"g370",10347.7087533293,57387.6109021821,-2.47142796136046,47039.9021488528,0.900403908293584,-47039.9022137759
"g120",94598.5866635294,476085.182237242,-2.33132919242507,381486.595573713,0.89900753962148,-381486.595580837
"g179",2417.05302175573,18967.100582771,-2.97217813087355,16550.0475610153,0.898634405293122,-16550.047827898
"g99",22099.4550470521,112350.981108145,-2.34593002335973,90251.5260610934,0.897938144329897,-90251.5260915825
"g574",14629.7836546793,76299.4016455646,-2.38276330816297,61669.6179908853,0.897691952608094,-61669.6180369174
"g11243",2317.38073219879,18081.099570679,-2.96391542020815,15763.7188384802,0.895930143098938,-15763.7191171198
"g183",9684.50467281588,51643.7362607752,-2.41484321161346,41959.2315879593,0.895391598707493,-41959.231657449
"g50",46970.5664537067,224337.752141827,-2.25584352396963,177367.18568812,0.893333589783044,-177367.185702466
"g483",2262.75265042239,17308.8489829898,-2.93535899827519,15046.0963325674,0.892825819356824,-15046.0966188986
"g546",61385.6713308788,287136.335067209,-2.22576205940105,225750.66373633,0.891456377904293,-225750.663747303
"g984",195258.97362944,41801.7155952394,2.22375479399851,153457.2580342,0.890033082012617,153457.258050313
"g8050",4676.93050997937,27097.6469728876,-2.53453368202967,22420.7164629082,0.889294506847207,-22420.7166061655
"g1873",1970.44449354868,15504.4959206728,-2.97609360692475,13534.0514271242,0.889032928142791,-13534.0517543408
"g1235",140212.076559422,30974.5536394622,2.17845521739297,109237.52291996,0.886320972457301,109237.522941682
"g1063",33254.1259908328,6328.28049155012,2.3936479018261,26925.8454992827,0.886074780735498,26925.8456056777
"g8",52926.9441421333,236377.556236651,-2.15901879566677,183450.612094518,0.885767041083244,-183450.612107222
"g6658",18457.5829286255,2808.27882631289,2.71645555135371,15649.3041023126,0.885228496691799,15649.3043380781
"g427",136262.562085729,601681.304506132,-2.14261029141689,465418.742420404,0.884839975380828,-465418.742425336
"g4762",1258.36265565633,11958.4047085542,-3.24840527514632,10700.0420528979,0.884763040467764,-10700.0425459864
"g416",83807.1445441917,369729.579002441,-2.1413253224516,285922.434458249,0.884609170641637,-285922.434466267
"g9448",53573.8556368538,11364.6066215338,2.2369813815062,42209.24901532,0.883782120326204,42209.2490745972
"g730",29618.0041968038,5602.99108824746,2.40220532516394,24015.0131085563,0.883601323280505,24015.0132287018
"g794",37145.1788331517,7529.44322996934,2.3025598790272,29615.7356031824,0.882016464071396,29615.7356926919
