"","X1_mean","X2_mean","M","D","prob","ranking"
"g2233",828.239582618957,33173.7174694573,-5.32384872777307,32345.4778868384,0.970657692307692,-32345.4783249733
"g236",9910.62919708074,181654.495463747,-4.19607660598031,171743.866266666,0.96575,-171743.866317926
"g19",39725.4318620505,323767.439852937,-3.02682309763504,284042.007990886,0.937069230769231,-284042.008007013
"g661",24644.9111448598,190617.409072036,-2.95131820186622,165972.497927177,0.933523076923077,-165972.497953417
"g9329",819.128036055492,14648.005858783,-4.16047148915993,13828.8778227275,0.932634615384615,-13828.8784485744
"g542",8543.89721256101,64070.5256640861,-2.90669463119925,55526.6284515251,0.928519230769231,-55526.6285276046
"g103",5158.95766423381,40613.1677638268,-2.97679604710094,35454.210099593,0.926984615384615,-35454.2102245614
"g980",29751.9329936818,3453.47811407765,3.106861417958,26298.4548796042,0.926880769230769,26298.4550631242
"g235",5580.82227012223,41248.4044610739,-2.88578870783469,35667.5821909517,0.923515384615385,-35667.5823076932
"g1119",59506.5994513327,8527.63837574068,2.80283151090823,50978.961075592,0.923357692307692,50978.9611526421
"g589",31280.8505070312,203057.000743346,-2.6985331232615,171776.150236315,0.922926923076923,-171776.150257511
"g486",31673.5581639166,199382.570734574,-2.65418844838145,167709.012570657,0.92065,-167709.01259166
"g286",38506.3069318589,225278.132792789,-2.54854061273796,186771.82586093,0.915115384615385,-186771.825878318
"g468",113276.569186308,644104.601540739,-2.5074455224857,530828.032354431,0.913373076923077,-530828.032360353
"g895",65739.808455399,11036.5471399986,2.57447836727794,54703.2613154004,0.912788461538461,54703.2613759812
"g379",676.076755009093,10667.5574758585,-3.97989902844242,9991.48072084944,0.912738461538461,-9991.4815135045
"g842",44150.9100279254,7314.61247386696,2.59358983674366,36836.2975540584,0.910311538461538,36836.2976453639
"g430",5681.04928232035,35031.9229038395,-2.62444085658237,29350.8736215191,0.908623076923077,-29350.8737388528
"g740",19612.6039778581,2619.38471160528,2.90448122538136,16993.2192662529,0.907403846153846,16993.2195144698
"g1816",21259.9715965326,2974.01250259022,2.83765705189101,18285.9590939424,0.907311538461538,18285.9593141194
"g388",35848.4687992962,188678.556196091,-2.39594706292869,152830.087396794,0.905953846153846,-152830.087415575
