"","truedispersions.S1","truedispersions.S2","truemeans.S1","truemeans.S2","n.random.outliers.up.S1","n.random.outliers.up.S2","n.random.outliers.down.S1","n.random.outliers.down.S2","n.single.outliers.up.S1","n.single.outliers.up.S2","n.single.outliers.down.S1","n.single.outliers.down.S2","M.value","A.value","truelog2foldchanges","upregulation","downregulation","differential.expression"
"g1",0.0936222525622843,0.0936222525622843,799.780487804878,1543.54871385933,0,0,0,0,0,0,0,0,0.64335628937461,14.5845786334011,0.948575025275796,1,0,1
"g2",0.749721969164795,0.749721969164795,9.26829268292683,28.6853137396865,0,0,0,0,0,0,0,0,-0.133739917921021,7.90544251768416,1.62993678842931,1,0,1
"g3",0.269186036589201,0.269186036589201,0.634146341463415,1.06926178384754,0,0,0,0,0,0,0,0,0.0884227490598617,4.36509202772545,0.753727393064379,1,0,1
"g4",0.154229584970377,0.154229584970377,3.54385964912281,13.3871553055397,0,0,0,0,0,0,0,0,1.55102586548403,7.56668550936705,1.91745605502818,1,0,1
"g5",0.151349836102853,0.151349836102853,101.439024390244,238.921234543603,0,0,0,0,0,0,0,0,1.03564717368506,11.7956048218381,1.23592230629015,1,0,1
"g6",0.130185515447008,0.130185515447008,189.463414634146,363.435998372973,0,0,0,0,0,0,0,0,0.74514113884595,13.0263307239741,0.939782034715199,1,0,1
"g7",0.319712169348717,0.319712169348717,20.5365853658537,38.9624319699332,0,0,0,0,0,0,0,0,-0.0803883181961549,9.29334993574822,0.923887407284864,1,0,1
"g8",0.315512187331939,0.315512187331939,6.95121951219512,20.6443760020315,0,0,0,0,0,0,0,0,2.29231153866941,8.01516656849297,1.57041080265211,1,0,1
"g9",0.0842894788257537,0.0842894788257537,34.0975609756098,76.4617685361018,0,0,0,0,0,0,0,0,1.09060604445367,10.1073071235897,1.16507002376054,1,0,1
"g10",0.0602684672021978,0.0602684672021978,89.9268292682927,234.227174831956,0,0,0,0,0,0,0,0,1.54114590625368,11.7525207884593,1.38108495906531,1,0,1
"g11",0.111764789695488,0.111764789695488,56.7543859649123,113.594579083453,0,0,0,0,0,0,0,0,0.907429596034772,10.6231185770635,1.00109019581042,1,0,1
"g12",0.104089492920346,0.104089492920346,29.8048780487805,96.546824299509,0,0,0,0,0,0,0,0,1.30033830261524,10.0862851607237,1.6956803352873,1,0,1
"g13",1.21036828473737,1.21036828473737,30.2926829268293,103.65180619706,0,0,0,0,0,0,0,0,0.667277806964481,8.99005017142382,1.77470399269527,1,0,1
"g14",0.128622982718927,0.128622982718927,348.268292682927,928.89281811272,0,0,0,0,0,0,0,0,1.21338949205169,13.7579605593274,1.41531300645377,1,0,1
"g15",0.0354341719881996,0.0354341719881996,4443.39024390244,26527.8268244056,0,0,0,0,0,0,0,0,2.67020776343053,17.9282638457916,2.57777373621727,1,0,1
"g16",0.414938401369696,0.414938401369696,194.707317073171,528.783598695107,0,0,0,0,0,0,0,0,2.23828618046199,12.9193413731951,1.4413703280514,1,0,1
"g17",0.0897228475407981,0.0897228475407981,131.365853658537,304.673711048009,0,0,0,0,0,0,0,0,0.716911979629549,12.1995147156087,1.21367470148792,1,0,1
"g18",0.128091317487447,0.128091317487447,107.824561403509,233.024656686916,0,0,0,0,0,0,0,0,0.751284299389994,11.9172989833947,1.11179676901964,1,0,1
"g19",0.062839710427403,0.062839710427403,1535.75609756098,3406.94959152635,0,0,0,0,0,0,0,0,1.14283397313795,15.6293700666428,1.14953149041013,1,0,1
"g20",0.0752309378486321,0.0752309378486321,51.2456140350877,94.529133670318,0,0,0,0,0,0,0,0,0.553560794746877,10.6385185777242,0.883330499515304,1,0,1
"g21",0.214812032473804,0.214812032473804,102.073170731707,226.412464617779,0,0,0,0,0,0,0,0,1.78206392522221,11.7883372400389,1.14934967157035,1,0,1
