"sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10"
"g1" 84 149 79 57 77 32 239 125 83 409
"g2" 2304 1863 1476 1181 1945 2544 1229 1571 8344 4084
"g3" 27 18 10 0 5 43 28 6 35 102
"g4" 23865 27702 23726 17671 17374 26854 32796 23205 37733 35426
"g5" 709 785 778 805 702 1487 2524 1780 2130 3659
"g6" 10368 17796 22433 23933 14117 37177 40103 29222 39879 64975
"g7" 245 356 230 181 515 1348 1265 934 1457 2472
"g8" 36 43 68 41 38 48 38 28 73 40
"g9" 3127 1169 1267 2356 1880 2412 2437 1631 4211 5114
"g10" 9337 3714 8775 6854 1554 11957 9116 9158 13380 8897
"g11" 31006 34441 67307 30585 28658 70608 79025 56031 84103 101358
"g12" 8846 13367 7164 5669 5824 5861 13277 9180 18571 24671
"g13" 152 15 68 75 157 299 354 1364 1370 6
"g14" 145 551 153 434 334 47 962 709 664 2073
"g15" 84 5 105 64 106 153 109 75 246 111
"g16" 712 390 712 437 520 761 816 685 1147 825
"g17" 17601 20689 18234 20024 14884 48503 49276 42624 79272 75958
"g18" 6267 7315 8692 5993 4246 10438 18068 9730 14077 22388
"g19" 70 187 94 39 79 207 332 271 352 241
"g20" 36332 44157 19607 11692 24614 45185 40815 22640 51115 64396
"g21" 848 1395 1563 1365 1061 2165 3116 1804 2875 2391
"g22" 15605 8229 25625 19503 24836 23350 17543 13414 20032 37924
"g23" 86393 195078 67981 131954 94663 275549 175559 229592 244650 283845
"g24" 372 335 617 230 1095 1011 725 68 1025 207
"g25" 313 1344 1059 580 547 908 2595 2522 1007 1289
"g26" 1962 1286 1784 874 615 901 1332 574 2151 2035
"g27" 326 1110 954 1115 902 594 847 885 660 3657
"g28" 303 138 339 109 34 424 183 1054 582 197
"g29" 27033 42697 41246 36519 26833 87421 137288 111947 132594 142727
"g30" 5946 7539 2420 6912 3928 11786 10393 5743 13535 15158
"g31" 231 480 276 356 249 317 379 278 468 766
"g32" 3253 1815 768 1775 2488 3878 14047 2594 2878 11709
