"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Benjamini et al. 1995) < 0.05)"
g2	36074	26683	0.435038523131846	0.435038523131846	0	0	0	TRUE
g4	11228	7236	0.633836655891285	0.633836655891285	0	0	0	TRUE
g7	16552	14079	0.23346068411059	0.23346068411059	0	0	0	TRUE
g8	3918	15723	-2.00468721209148	-2.00468721209148	0	0	0	TRUE
g9	98	348	-1.82823365173352	-1.82823365173352	0	0	0	TRUE
g14	10130	14539	-0.521293869213752	-0.521293869213752	0	0	0	TRUE
g16	1021	2357	-1.20696889237237	-1.20696889237237	0	0	0	TRUE
g17	193	29	2.73447604214051	2.73447604214051	0	0	0	TRUE
g19	34086	48841	-0.518913430420017	-0.518913430420017	0	0	0	TRUE
g24	461	879	-0.931096414714066	-0.931096414714066	0	0	0	TRUE
g25	638	230	1.47192256282049	1.47192256282049	0	0	0	TRUE
g27	773	1184	-0.615128761704101	-0.615128761704101	0	0	0	TRUE
g28	2947	3813	-0.371679470602114	-0.371679470602114	0	0	0	TRUE
g30	47	182	-1.95320578852106	-1.95320578852106	0	0	0	TRUE
g31	1965	6895	-1.81102123925537	-1.81102123925537	0	0	0	TRUE
g32	77091	52798	0.546079161319575	0.546079161319575	0	0	0	TRUE
g33	8638	10136	-0.230719207933788	-0.230719207933788	0	0	0	TRUE
g34	2569	1358	0.919723410656085	0.919723410656085	0	0	0	TRUE
g37	815	489	0.736965594166207	0.736965594166207	0	0	0	TRUE
g38	839	346	1.2778987728031	1.2778987728031	0	0	0	TRUE
g39	415	1081	-1.38118328150036	-1.38118328150036	0	0	0	TRUE
g43	155	1891	-3.60880924267552	-3.60880924267552	0	0	0	TRUE
g44	12876	22218	-0.787044473415108	-0.787044473415108	0	0	0	TRUE
g46	49	1598	-5.02734184881277	-5.02734184881277	0	0	0	TRUE
g53	8780	1536	2.51504272370156	2.51504272370156	0	0	0	TRUE
g54	22269	17872	0.317335683741776	0.317335683741776	0	0	0	TRUE
g55	289	119	1.28010791919273	1.28010791919273	0	0	0	TRUE
g59	106	5	4.40599235967584	4.40599235967584	0	0	0	TRUE
g60	75537	45643	0.726789867892291	0.726789867892291	0	0	0	TRUE
g61	15653	12723	0.299000296846188	0.299000296846188	0	0	0	TRUE
g62	3001	1695	0.824158045574583	0.824158045574583	0	0	0	TRUE
g65	30216	16345	0.886463311785544	0.886463311785544	0	0	0	TRUE
g66	8620	6194	0.476816486301798	0.476816486301798	0	0	0	TRUE
g67	393	728	-0.88940913794009	-0.88940913794009	0	0	0	TRUE
g68	4823	3704	0.380846711501659	0.380846711501659	0	0	0	TRUE
g72	1535	4789	-1.64148577997846	-1.64148577997846	0	0	0	TRUE
g75	891	2686	-1.59196196790552	-1.59196196790552	0	0	0	TRUE
g77	7945	3492	1.18599366060644	1.18599366060644	0	0	0	TRUE
g78	8429	1539	2.45336825114812	2.45336825114812	0	0	0	TRUE
g79	421	1618	-1.94231946936358	-1.94231946936358	0	0	0	TRUE
g82	4524	3074	0.557481764299048	0.557481764299048	0	0	0	TRUE
g85	409	47	3.12136818126411	3.12136818126411	0	0	0	TRUE
g86	481	2	7.90989308377004	7.90989308377004	0	0	0	TRUE
g87	2495	1064	1.22954166472343	1.22954166472343	0	0	0	TRUE
g89	317	61	2.37760169257652	2.37760169257652	0	0	0	TRUE
g90	2347	1483	0.66229924406854	0.66229924406854	0	0	0	TRUE
g92	2209	3461	-0.647795522810172	-0.647795522810172	0	0	0	TRUE
g94	37524	30639	0.292444413949546	0.292444413949546	0	0	0	TRUE
g96	1522	2028	-0.414089293499796	-0.414089293499796	0	0	0	TRUE
g97	37507	20020	0.905717899377084	0.905717899377084	0	0	0	TRUE
g98	29381	45467	-0.629936315709678	-0.629936315709678	0	0	0	TRUE
g99	78524	111588	-0.506976319884032	-0.506976319884032	0	0	0	TRUE
g101	65	226	-1.79781114938673	-1.79781114938673	0	0	0	TRUE
g103	2863	9424	-1.71881186883111	-1.71881186883111	0	0	0	TRUE
g104	3896	4965	-0.349800040333395	-0.349800040333395	0	0	0	TRUE
g106	8693	12702	-0.547129625453417	-0.547129625453417	0	0	0	TRUE
g108	277	70	1.98445914910422	1.98445914910422	0	0	0	TRUE
g109	1043	633	0.720461753091424	0.720461753091424	0	0	0	TRUE
g111	49	177	-1.85289570596779	-1.85289570596779	0	0	0	TRUE
g113	15559	18508	-0.250399664861535	-0.250399664861535	0	0	0	TRUE
g117	867	1263	-0.542750740565719	-0.542750740565719	0	0	0	TRUE
g118	7685	9715	-0.338168735894573	-0.338168735894573	0	0	0	TRUE
g120	10082	12216	-0.276990107787487	-0.276990107787487	0	0	0	TRUE
g121	1527	1076	0.505021984240228	0.505021984240228	0	0	0	TRUE
g123	1726	5591	-1.69567388045031	-1.69567388045031	0	0	0	TRUE
g124	88	557	-2.66210189870273	-2.66210189870273	0	0	0	TRUE
g125	5178	6128	-0.243021332024846	-0.243021332024846	0	0	0	TRUE
g127	51321	54743	-0.0931252168564232	-0.0931252168564232	0	0	0	TRUE
g128	4	90	-4.49185309632967	-4.49185309632967	0	0	0	TRUE
g129	2	618	-8.27146302790437	-8.27146302790437	0	0	0	TRUE
g131	8066	9312	-0.207237652502407	-0.207237652502407	0	0	0	TRUE
g134	176	466	-1.40475452601698	-1.40475452601698	0	0	0	TRUE
g135	19585	21545	-0.137603970159637	-0.137603970159637	0	0	0	TRUE
g136	44824	17515	1.35568040954077	1.35568040954077	0	0	0	TRUE
g137	4056	6554	-0.692318020539419	-0.692318020539419	0	0	0	TRUE
g139	22394	39540	-0.820200626719997	-0.820200626719997	0	0	0	TRUE
g143	42974	34040	0.336233031723639	0.336233031723639	0	0	0	TRUE
g145	23408	12595	0.894150552516884	0.894150552516884	0	0	0	TRUE
g147	27	160	-2.56704059272389	-2.56704059272389	0	0	0	TRUE
g148	1916	5649	-1.5598979395992	-1.5598979395992	0	0	0	TRUE
g150	12939	14492	-0.163530588997631	-0.163530588997631	0	0	0	TRUE
g153	6925	8862	-0.355818255662033	-0.355818255662033	0	0	0	TRUE
g154	2484	3147	-0.341312005077942	-0.341312005077942	0	0	0	TRUE
