"","GeneNames","value1","value2","log2.Fold_change.","log2.Fold_change..normalized","p.value","q.value.Benjamini.et.al..1995.","q.value.Storey.et.al..2003.","Signature.q.value.Benjamini.et.al..1995....0.05."
"1","g4",23865,17374,0.457966393751606,0.457966393751606,0,0,0,TRUE
"2","g6",10368,14117,-0.445295911097558,-0.445295911097558,0,0,0,TRUE
"3","g7",245,515,-1.07179068306801,-1.07179068306801,0,0,0,TRUE
"4","g9",3127,1880,0.734046557360042,0.734046557360042,0,0,0,TRUE
"5","g10",9337,1554,2.58697257934133,2.58697257934133,0,0,0,TRUE
"6","g11",31006,28658,0.113609490247287,0.113609490247287,0,0,0,TRUE
"7","g12",8846,5824,0.603014886699958,0.603014886699958,0,0,0,TRUE
"8","g14",145,334,-1.20379520245912,-1.20379520245912,0,0,0,TRUE
"9","g17",17601,14884,0.241895102266747,0.241895102266747,0,0,0,TRUE
"10","g18",6267,4246,0.561670621882886,0.561670621882886,0,0,0,TRUE
"11","g20",36332,24614,0.561761657279291,0.561761657279291,0,0,0,TRUE
"12","g22",15605,24836,-0.670424479552095,-0.670424479552095,0,0,0,TRUE
"13","g23",86393,94663,-0.131886221142022,-0.131886221142022,0,0,0,TRUE
"14","g24",372,1095,-1.5575563433805,-1.5575563433805,0,0,0,TRUE
"15","g26",1962,615,1.67366672599264,1.67366672599264,0,0,0,TRUE
"16","g27",326,902,-1.4682554690243,-1.4682554690243,0,0,0,TRUE
"17","g28",303,34,3.15571114222261,3.15571114222261,0,0,0,TRUE
"18","g30",5946,3928,0.598124533592951,0.598124533592951,0,0,0,TRUE
"19","g32",3253,2488,0.386784336910528,0.386784336910528,0,0,0,TRUE
"20","g35",42009,21865,0.942075095291242,0.942075095291242,0,0,0,TRUE
"21","g36",279,1,8.12412131182919,8.12412131182919,0,0,0,TRUE
"22","g39",109,330,-1.59813788946889,-1.59813788946889,0,0,0,TRUE
"23","g40",4041,2436,0.730198218277128,0.730198218277128,0,0,0,TRUE
"24","g41",1318,665,0.986924124619499,0.986924124619499,0,0,0,TRUE
"25","g42",7284,5405,0.430436304354824,0.430436304354824,0,0,0,TRUE
"26","g43",410,150,1.45066140900957,1.45066140900957,0,0,0,TRUE
"27","g44",2248,1419,0.663767446160374,0.663767446160374,0,0,0,TRUE
"28","g47",69519,16066,2.11339654814559,2.11339654814559,0,0,0,TRUE
"29","g48",2516,755,1.73658337266685,1.73658337266685,0,0,0,TRUE
"30","g49",5820,4362,0.416029383154896,0.416029383154896,0,0,0,TRUE
"31","g51",10444,8102,0.366324372626407,0.366324372626407,0,0,0,TRUE
"32","g53",421,44,3.2582448044291,3.2582448044291,0,0,0,TRUE
"33","g54",5,294,-5.877744249949,-5.877744249949,0,0,0,TRUE
"34","g57",5105,0,NA,NA,0,0,0,TRUE
"35","g58",3675,4562,-0.311922196701049,-0.311922196701049,0,0,0,TRUE
"36","g61",1383,2723,-0.977395825893302,-0.977395825893302,0,0,0,TRUE
"37","g62",2799,3841,-0.45657047695815,-0.45657047695815,0,0,0,TRUE
"38","g64",3441,4430,-0.364478806705399,-0.364478806705399,0,0,0,TRUE
"39","g65",4019,2114,0.926861200676063,0.926861200676063,0,0,0,TRUE
"40","g66",3782,1464,1.36923380966572,1.36923380966572,0,0,0,TRUE
"41","g68",77553,43992,0.817941398723331,0.817941398723331,0,0,0,TRUE
"42","g70",15221,13033,0.22389393638387,0.22389393638387,0,0,0,TRUE
"43","g71",2,4085,-10.996120363033,-10.996120363033,0,0,0,TRUE
"44","g77",1154,348,1.72948401279675,1.72948401279675,0,0,0,TRUE
"45","g79",6814,4264,0.67629450933717,0.67629450933717,0,0,0,TRUE
"46","g80",825,6002,-2.86297729446511,-2.86297729446511,0,0,0,TRUE
"47","g84",3216,1997,0.687433073734956,0.687433073734956,0,0,0,TRUE
"48","g85",155,362,-1.22372148180897,-1.22372148180897,0,0,0,TRUE
"49","g88",4387,2547,0.784435746745036,0.784435746745036,0,0,0,TRUE
"50","g89",601,2367,-1.97762281002343,-1.97762281002343,0,0,0,TRUE
"51","g90",1313,867,0.598763017671052,0.598763017671052,0,0,0,TRUE
"52","g91",604,232,1.38042374419751,1.38042374419751,0,0,0,TRUE
"53","g93",12189,3094,1.97803466850321,1.97803466850321,0,0,0,TRUE
"54","g94",338,110,1.61951972275752,1.61951972275752,0,0,0,TRUE
"55","g98",2032,901,1.17330139095863,1.17330139095863,0,0,0,TRUE
"56","g101",15461,11966,0.369692666059191,0.369692666059191,0,0,0,TRUE
"57","g102",8891,14476,-0.703245414875258,-0.703245414875258,0,0,0,TRUE
"58","g104",2254,1209,0.898673270923098,0.898673270923098,0,0,0,TRUE
"59","g105",668,336,0.991386869695292,0.991386869695292,0,0,0,TRUE
"60","g106",813,1316,-0.694832231660214,-0.694832231660214,0,0,0,TRUE
"61","g107",65415,28957,1.1757093469141,1.1757093469141,0,0,0,TRUE
"62","g108",126016,58449,1.10835667435621,1.10835667435621,0,0,0,TRUE
"63","g109",16603,10458,0.666836970737323,0.666836970737323,0,0,0,TRUE
"64","g113",0,238,NA,NA,0,0,0,TRUE
"65","g114",1475,807,0.870074375858785,0.870074375858785,0,0,0,TRUE
"66","g115",170,29,2.55140994101013,2.55140994101013,0,0,0,TRUE
"67","g117",8026,5040,0.671257422392715,0.671257422392715,0,0,0,TRUE
"68","g118",936556,305787,1.61483818654955,1.61483818654955,0,0,0,TRUE
