"","x"
"1","g4"
"2","g8"
"3","g9"
"4","g10"
"5","g11"
"6","g12"
"7","g14"
"8","g15"
"9","g16"
"10","g21"
"11","g23"
"12","g25"
"13","g26"
"14","g30"
"15","g32"
"16","g37"
"17","g39"
"18","g49"
"19","g50"
"20","g51"
"21","g52"
"22","g53"
"23","g56"
"24","g59"
"25","g60"
"26","g62"
"27","g63"
"28","g65"
"29","g66"
"30","g67"
"31","g69"
"32","g70"
"33","g71"
"34","g72"
"35","g73"
"36","g75"
"37","g77"
"38","g79"
"39","g80"
"40","g87"
"41","g90"
"42","g91"
"43","g93"
"44","g94"
"45","g96"
"46","g98"
"47","g100"
"48","g102"
"49","g103"
"50","g105"
"51","g107"
"52","g111"
"53","g112"
"54","g114"
"55","g115"
"56","g116"
"57","g118"
"58","g126"
"59","g133"
"60","g136"
"61","g137"
"62","g138"
"63","g140"
"64","g141"
"65","g142"
"66","g143"
"67","g144"
"68","g145"
"69","g147"
"70","g150"
"71","g152"
"72","g153"
"73","g158"
"74","g160"
"75","g161"
"76","g162"
"77","g168"
"78","g175"
"79","g179"
"80","g180"
"81","g181"
"82","g186"
"83","g187"
"84","g188"
"85","g191"
"86","g192"
"87","g193"
"88","g194"
"89","g195"
"90","g196"
"91","g197"
"92","g198"
"93","g199"
"94","g200"
"95","g201"
"96","g204"
"97","g205"
"98","g207"
"99","g209"
"100","g212"
"101","g214"
"102","g215"
"103","g217"
"104","g220"
"105","g221"
"106","g222"
"107","g223"
"108","g225"
"109","g227"
"110","g229"
"111","g231"
"112","g233"
"113","g236"
"114","g237"
"115","g239"
"116","g241"
"117","g243"
"118","g244"
"119","g245"
"120","g246"
"121","g250"
"122","g253"
"123","g256"
"124","g258"
"125","g259"
"126","g262"
"127","g265"
"128","g268"
"129","g270"
"130","g272"
"131","g275"
"132","g280"
"133","g282"
"134","g287"
"135","g291"
"136","g292"
"137","g293"
"138","g294"
"139","g295"
"140","g296"
"141","g298"
"142","g303"
"143","g305"
"144","g307"
"145","g308"
"146","g311"
"147","g312"
"148","g314"
"149","g315"
"150","g316"
"151","g317"
"152","g318"
"153","g321"
"154","g324"
"155","g325"
"156","g327"
"157","g330"
"158","g331"
"159","g334"
"160","g335"
"161","g336"
"162","g337"
"163","g338"
"164","g340"
"165","g341"
"166","g342"
"167","g343"
"168","g346"
