"","x"
"1","g509"
"2","g582"
"3","g216"
"4","g222"
"5","g906"
"6","g239"
"7","g887"
"8","g938"
"9","g158"
"10","g6217"
"11","g601"
"12","g321"
"13","g380"
"14","g489"
"15","g520"
"16","g12732"
"17","g829"
"18","g246"
"19","g2744"
"20","g8638"
"21","g1076"
"22","g1049"
"23","g1223"
"24","g159"
"25","g673"
"26","g8290"
"27","g575"
"28","g52"
"29","g364"
"30","g12862"
"31","g6886"
"32","g24"
"33","g262"
"34","g1271"
"35","g257"
"36","g436"
"37","g10972"
"38","g642"
"39","g468"
"40","g215"
"41","g422"
"42","g2"
"43","g747"
"44","g1220"
"45","g443"
"46","g331"
"47","g87"
"48","g357"
"49","g62"
"50","g34"
"51","g502"
"52","g1013"
"53","g454"
"54","g145"
"55","g384"
"56","g928"
"57","g1125"
"58","g385"
"59","g805"
"60","g240"
"61","g548"
"62","g721"
"63","g1277"
"64","g3986"
"65","g672"
"66","g7723"
"67","g46"
"68","g577"
"69","g1130"
"70","g687"
"71","g11000"
"72","g1016"
"73","g75"
"74","g12153"
"75","g493"
"76","g3881"
"77","g801"
"78","g1194"
"79","g456"
"80","g1110"
"81","g1292"
"82","g401"
"83","g2565"
"84","g840"
"85","g67"
"86","g139"
"87","g1037"
"88","g841"
"89","g279"
"90","g268"
"91","g10357"
"92","g497"
"93","g628"
"94","g952"
"95","g11293"
"96","g579"
"97","g508"
"98","g935"
"99","g1109"
"100","g146"
"101","g300"
"102","g324"
"103","g779"
"104","g325"
"105","g7610"
"106","g1017"
"107","g1228"
"108","g1169"
"109","g587"
"110","g5237"
"111","g733"
"112","g424"
"113","g182"
"114","g1262"
"115","g953"
"116","g11533"
"117","g1133"
"118","g1184"
"119","g2807"
"120","g939"
"121","g10462"
"122","g8274"
"123","g223"
"124","g1264"
"125","g431"
"126","g450"
"127","g7462"
"128","g1075"
"129","g696"
"130","g283"
"131","g330"
"132","g593"
"133","g157"
"134","g98"
"135","g379"
"136","g12018"
"137","g106"
"138","g2648"
"139","g5638"
"140","g285"
"141","g784"
"142","g5322"
"143","g405"
"144","g400"
"145","g704"
"146","g992"
"147","g196"
"148","g734"
"149","g323"
"150","g169"
"151","g787"
"152","g11517"
"153","g1272"
"154","g265"
"155","g8665"
"156","g941"
"157","g82"
"158","g809"
"159","g6423"
"160","g9340"
"161","g3802"
"162","g392"
"163","g701"
"164","g1095"
"165","g630"
"166","g1285"
"167","g359"
"168","g220"
"169","g5644"
"170","g427"
"171","g503"
"172","g1084"
"173","g465"
"174","g521"
"175","g1186"
"176","g9813"
"177","g91"
"178","g12469"
"179","g1835"
"180","g462"
"181","g4489"
"182","g511"
"183","g553"
"184","g1291"
"185","g1124"
"186","g11617"
"187","g970"
"188","g640"
"189","g798"
"190","g1005"
"191","g10653"
"192","g527"
"193","g538"
"194","g686"
"195","g4785"
"196","g530"
"197","g5208"
"198","g4734"
"199","g55"
"200","g555"
"201","g956"
"202","g639"
"203","g715"
"204","g571"
"205","g646"
"206","g738"
"207","g469"
"208","g886"
"209","g32"
"210","g1147"
"211","g84"
"212","g377"
"213","g1163"
"214","g1138"
"215","g291"
"216","g1276"
"217","g1008"
"218","g308"
"219","g487"
"220","g6535"
"221","g1114"
"222","g918"
"223","g272"
"224","g1297"
"225","g153"
"226","g1157"
"227","g498"
"228","g622"
"229","g9054"
"230","g506"
"231","g28"
"232","g522"
"233","g286"
"234","g7905"
"235","g2258"
"236","g1160"
"237","g1152"
"238","g613"
"239","g61"
"240","g8370"
"241","g802"
"242","g1176"
"243","g1199"
"244","g957"
"245","g7996"
"246","g1241"
"247","g7245"
"248","g817"
"249","g4675"
"250","g528"
"251","g270"
"252","g1193"
"253","g425"
"254","g12839"
"255","g8621"
