"","X1_mean","X2_mean","M","D","prob","ranking"
"g8357",356710.334639814,4566.0489165736,6.28766288866622,352144.28572324,0.987048007385752,352144.285779374
"g776",200840.650481211,15971.614361438,3.65246925432627,184869.036119773,0.953188952146484,184869.036155854
"g156",48129.2384171293,516548.618957243,-3.42391864603672,468419.380540114,0.947876596399446,-468419.380552627
"g10491",44424.1610047511,3451.08348345679,3.68622325092334,40973.0775212943,0.946349438375135,40973.0776871135
"g406",20732.4064568978,204493.155408351,-3.30209306739358,183760.748951454,0.943833666717957,-183760.748981122
"g9938",62977.8311003243,6090.89688034097,3.37011748848304,56886.9342199833,0.941360209262963,56886.9343198102
"g2296",36911.2444909492,3132.5219311377,3.55866386480949,33778.7225598115,0.940360055393137,33778.7227472681
"g1146",87749.0547670511,10997.806657896,2.99616775551902,76751.2481091551,0.931470226188644,76751.2481676364
"g435",36219.2529335228,268727.906817972,-2.89131745556872,232508.65388445,0.92968533620557,-232508.653902427
"g492",8317.097438168,65977.2831008064,-2.98781733094794,57660.1856626384,0.92920064625327,-57660.1857400493
"g7716",16298.5695433063,970.550862732156,4.06979771966811,15328.0186805742,0.928965994768426,15328.0192208675
"g547",7395.0705401258,58224.5567892009,-2.97699193846035,50829.4862490751,0.927758116633328,-50829.4863362536
"g157",30911.470279149,216465.760416344,-2.80792466239665,185554.290137195,0.92622326511771,-185554.29015844
"g610",113884.463425053,788739.289848924,-2.79197756789743,674854.826423871,0.926004000615479,-674854.826429646
"g918",68154.5690319702,9497.38174647309,2.84320862861085,58657.1872854971,0.923372826588706,58657.1873544046
"g777",22800.8389868616,2235.24022543894,3.35058511724614,20565.5987614227,0.923168949069088,20565.5990343644
"g538",3428.84645008128,29601.8013133308,-3.10988976429867,26172.9548632495,0.922430373903677,-26172.9550480092
"g12329",58836.2522014496,8521.52152453562,2.78752239865384,50314.730676914,0.919856901061702,50314.7307541308
"g1123",29880.0823175353,3714.42770004057,3.00797227270632,26165.6546174948,0.918895214648407,26165.6547903912
"g416",482540.608724471,2973048.95617493,-2.62322095564745,2490508.34745046,0.91825665486998,-2490508.34745184
"g49",277580.063003542,1609828.50533585,-2.53593115037715,1332248.44233231,0.914240652408063,-1332248.44233472
"g110",151208.640207764,866535.206540769,-2.51871778706676,715326.566333005,0.912982766579474,-715326.566337439
"g68",13519.290100128,81389.2910020039,-2.5898195833132,67870.0009018759,0.912775042314202,-67870.0009512878
"g368",20642.8435169039,120337.688260377,-2.54337492897111,99694.8447434728,0.91209416833359,-99694.8447759156
"g249",21892.9536056606,123462.777088627,-2.4955376393017,101569.823482966,0.909774580704724,-101569.823513624
"g342",181441.317678538,995622.71877151,-2.45609612836202,814181.401092972,0.90955146945684,-814181.401096676
"g60",4389.52682748926,29977.7039450673,-2.77175255168853,25588.177117578,0.908532081858747,-25588.1772676984
"g574",48488.4329448942,264452.81078585,-2.4472977750076,215964.377840956,0.908420526234805,-215964.377854822
"g438",10183.7776611982,57246.5728235813,-2.49091649922839,47062.795162383,0.904504539159871,-47062.795228302
"g533",23559.767057336,123922.567595808,-2.39504176128022,100362.800538472,0.903889059855362,-100362.800567049
"g9093",102531.653704987,19278.2832745102,2.41102087834935,83253.3704304773,0.903819818433605,83253.3704653889
"g521",4498.88789106072,28360.4731311274,-2.65624127933108,23861.5852400667,0.901934913063548,-23861.5853879114
"g1056",54636.2216996316,10052.7407193494,2.44226883647188,44583.4809802823,0.901100169256809,44583.4810471756
"g5958",85726.8178587684,16483.4365888307,2.37872953457928,69243.3812699377,0.901000153869826,69243.3813107961
"g297",28758.1886481384,146393.899496396,-2.34781072037932,117635.710848258,0.900957839667641,-117635.710871687
"g551",18025.720133504,93369.3291128838,-2.37289182015688,75343.6089793798,0.900792429604555,-75343.609016746
