"","x"
"1","g1"
"2","g2"
"3","g3"
"4","g4"
"5","g5"
"6","g6"
"7","g7"
"8","g8"
"9","g9"
"10","g10"
"11","g11"
"12","g12"
"13","g13"
"14","g14"
"15","g15"
"16","g16"
"17","g17"
"18","g18"
"19","g19"
"20","g20"
"21","g21"
"22","g22"
"23","g23"
"24","g24"
"25","g25"
"26","g26"
"27","g27"
"28","g28"
"29","g29"
"30","g30"
"31","g31"
"32","g32"
"33","g33"
"34","g34"
"35","g35"
"36","g36"
"37","g37"
"38","g38"
"39","g39"
"40","g40"
"41","g41"
"42","g42"
"43","g43"
"44","g44"
"45","g45"
"46","g46"
"47","g47"
"48","g48"
"49","g49"
"50","g50"
"51","g51"
"52","g52"
"53","g53"
"54","g54"
"55","g55"
"56","g56"
"57","g57"
"58","g58"
"59","g59"
"60","g60"
"61","g61"
"62","g62"
"63","g63"
"64","g64"
"65","g65"
"66","g66"
"67","g67"
"68","g68"
"69","g69"
"70","g70"
"71","g71"
"72","g72"
"73","g73"
"74","g74"
"75","g75"
"76","g76"
"77","g77"
"78","g78"
"79","g79"
"80","g80"
"81","g81"
"82","g82"
"83","g83"
"84","g84"
"85","g85"
"86","g86"
"87","g87"
"88","g88"
"89","g89"
"90","g90"
"91","g91"
"92","g92"
"93","g93"
"94","g94"
"95","g95"
"96","g96"
"97","g97"
"98","g98"
"99","g99"
"100","g100"
"101","g101"
"102","g102"
"103","g103"
"104","g104"
"105","g105"
"106","g106"
"107","g107"
"108","g108"
"109","g109"
"110","g110"
"111","g111"
"112","g112"
"113","g113"
"114","g114"
"115","g115"
"116","g116"
"117","g117"
"118","g118"
"119","g119"
"120","g120"
"121","g121"
"122","g122"
"123","g123"
"124","g124"
"125","g125"
"126","g126"
"127","g127"
"128","g128"
"129","g129"
"130","g130"
"131","g131"
"132","g132"
"133","g133"
"134","g134"
"135","g135"
"136","g136"
"137","g137"
"138","g138"
"139","g139"
"140","g140"
"141","g141"
"142","g142"
"143","g143"
"144","g144"
"145","g145"
"146","g146"
"147","g147"
"148","g148"
"149","g149"
"150","g150"
"151","g151"
"152","g152"
"153","g153"
"154","g154"
"155","g155"
"156","g156"
"157","g157"
"158","g158"
"159","g159"
"160","g160"
"161","g161"
"162","g162"
"163","g163"
"164","g164"
"165","g165"
"166","g166"
"167","g167"
"168","g168"
"169","g169"
"170","g170"
"171","g171"
"172","g172"
"173","g173"
"174","g174"
"175","g175"
"176","g176"
"177","g177"
"178","g178"
"179","g179"
"180","g180"
"181","g181"
"182","g182"
"183","g183"
"184","g184"
"185","g185"
"186","g186"
"187","g187"
"188","g188"
"189","g189"
"190","g190"
"191","g191"
"192","g192"
"193","g193"
"194","g194"
"195","g195"
"196","g196"
"197","g197"
"198","g198"
"199","g199"
"200","g200"
"201","g201"
"202","g202"
"203","g203"
"204","g204"
"205","g205"
"206","g206"
"207","g207"
"208","g208"
"209","g209"
"210","g210"
"211","g211"
"212","g212"
"213","g213"
"214","g214"
"215","g215"
"216","g216"
"217","g217"
"218","g218"
"219","g219"
"220","g220"
"221","g221"
"222","g222"
"223","g223"
"224","g224"
"225","g225"
"226","g226"
"227","g227"
"228","g228"
"229","g229"
"230","g230"
"231","g231"
"232","g232"
"233","g233"
"234","g234"
"235","g235"
"236","g236"
"237","g237"
"238","g238"
"239","g239"
"240","g240"
"241","g241"
"242","g242"
"243","g243"
"244","g244"
"245","g245"
"246","g246"
"247","g247"
"248","g248"
"249","g249"
"250","g250"
"251","g251"
"252","g252"
"253","g253"
"254","g254"
"255","g255"
"256","g256"
"257","g257"
"258","g258"
"259","g259"
"260","g260"
"261","g261"
"262","g262"
"263","g263"
"264","g264"
"265","g265"
"266","g266"
"267","g267"
"268","g268"
"269","g269"
"270","g270"
"271","g271"
"272","g272"
"273","g273"
"274","g274"
"275","g275"
"276","g276"
"277","g277"
"278","g278"
