"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Benjamini et al. 1995) < 0.005)"
g5	512	237	1.11125675110174	1.11125675110174	0	0	0	TRUE
g16	7	305	-5.44531051039264	-5.44531051039264	0	0	0	TRUE
g25	491	253	0.956585639620382	0.956585639620382	0	0	0	TRUE
g26	746	118	2.6603887708934	2.6603887708934	0	0	0	TRUE
g33	1517	2445	-0.688613379592564	-0.688613379592564	0	0	0	TRUE
g36	1778	2649	-0.575192519539852	-0.575192519539852	0	0	0	TRUE
g44	551	214	1.36444152217001	1.36444152217001	0	0	0	TRUE
g52	890	338	1.39678208957158	1.39678208957158	0	0	0	TRUE
g54	664	198	1.74568281126732	1.74568281126732	0	0	0	TRUE
g59	360	782	-1.11917170097768	-1.11917170097768	0	0	0	TRUE
g62	298	98	1.60445867634695	1.60445867634695	0	0	0	TRUE
g66	6861	3705	0.888945323939634	0.888945323939634	0	0	0	TRUE
g71	2004	587	1.77145010008516	1.77145010008516	0	0	0	TRUE
g73	2550	4077	-0.677010709742326	-0.677010709742326	0	0	0	TRUE
g76	3911	3084	0.342734770817911	0.342734770817911	0	0	0	TRUE
g77	375	175	1.09953567355091	1.09953567355091	0	0	0	TRUE
g83	218	557	-1.35334919256311	-1.35334919256311	0	0	0	TRUE
g86	836	93	3.16820032097285	3.16820032097285	0	0	0	TRUE
g93	953	462	1.04458336249388	1.04458336249388	0	0	0	TRUE
g106	2267	748	1.59967421585315	1.59967421585315	0	0	0	TRUE
g119	2536	4574	-0.850901620272266	-0.850901620272266	0	0	0	TRUE
g126	420	154	1.44745897697122	1.44745897697122	0	0	0	TRUE
g134	133	409	-1.62067459744056	-1.62067459744056	0	0	0	TRUE
g139	936	526	0.831445730291103	0.831445730291103	0	0	0	TRUE
g145	985	601	0.712758733632553	0.712758733632553	0	0	0	TRUE
g146	1143	1813	-0.665553521529681	-0.665553521529681	0	0	0	TRUE
g150	621	988	-0.669917773364196	-0.669917773364196	0	0	0	TRUE
g151	131	445	-1.76423852431631	-1.76423852431631	0	0	0	TRUE
g159	1749	369	2.24483756786126	2.24483756786126	0	0	0	TRUE
g164	261	620	-1.24821840870435	-1.24821840870435	0	0	0	TRUE
g176	1097	356	1.62361437943679	1.62361437943679	0	0	0	TRUE
g180	434	177	1.29394568236148	1.29394568236148	0	0	0	TRUE
g189	5657	4080	0.471468018784917	0.471468018784917	0	0	0	TRUE
g190	894	324	1.46428101829869	1.46428101829869	0	0	0	TRUE
g191	2199	1368	0.684779373969072	0.684779373969072	0	0	0	TRUE
g202	2315	1466	0.659127090013788	0.659127090013788	0	0	0	TRUE
g211	185	15	3.62449086490779	3.62449086490779	0	0	0	TRUE
g222	2422	668	1.85827885722028	1.85827885722028	0	0	0	TRUE
g223	876	412	1.08828653241796	1.08828653241796	0	0	0	TRUE
g229	1300	670	0.956278622570681	0.956278622570681	0	0	0	TRUE
g230	99	267	-1.43133931160795	-1.43133931160795	0	0	0	TRUE
g232	534	260	1.0383281186591	1.0383281186591	0	0	0	TRUE
g235	244	21	3.53841991478413	3.53841991478413	0	0	0	TRUE
